loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	78	9.66	.40	.12	.51	4.84	17.22	1.22	10.24	6.03	1.05
	79	9.50	.20	.16	.47	4.95	17.39	1.23	10.09	6.01	.94
	80	9.21	.07	.20	.43	5.07	17.52	1.23	9.88	5.97	.84
	81	8.80	.49	.24	.39	5.19	17.61	3.42	9.61	5.92	.74
	82	8.28	.41	.29	.35	5.31	17.67	3.46	9.28	5.86	.65
	83	7.68	.35	.33	.32	5.43	17.69	3.49	8.89	5.78	.57
	84	7.23	.31	.37	.29	5.55	12.55	3.51	8.45	6.81	.50
	85	5.91	.29	.41	.26	5.66	12.20	3.52	7.95	7.54	.43
	86	5.85	.29	.44	.23	5.77	11.44	3.51	7.41	7.69	.39
	87	5.78	.31	.46	.21	5.88	11.75	3.50	6.83	7.28	.35
	88	5.72	.36	.48	.19	5.98	11.18	3.48	6.24	6.82	.32
	89	5.65	.41	.49	.18	6.07	10.57	3.45	5.63	6.29	.30
	90	5.58	.48	.49	.17	6.15	9.92	3.42	5.02	5.73	.30
	91	5.50	1.02	.49	.17	6.23	9.23	3.48	4.44	5.12	.30
	92	5.42	.90	.48	.17	6.29	8.52	3.55	3.90	4.50	.31
	93	5.34	.78	.47	.18	6.34	7.79	3.62	3.40	3.89	.33
	94	5.26	.68	.45	.02	6.37	7.06	3.67	2.94	3.32	.36
	95	5.17	.61	.43	.04	6.39	6.32	3.72	2.55	2.81	.34
	96	5.09	.58	.41	.05	6.39	5.59	3.75	1.92	2.38	.34
	97	5.00	.59	.94	.08	6.36	4.88	3.76	2.13	2.03	.35
	98	4.90	.63	1.04	.10	2.16	4.20	3.77	2.34	1.35	.37
	99	4.81	.64	1.15	.13	2.11	3.56	3.75	2.55	1.40	.39
	100	4.72	.54	1.26	.27	2.06	2.97	3.72	2.74	1.44	.43
	101	4.63	.44	1.37	.08	2.01	2.44	3.68	2.92	1.49	.47
	102	4.54	.36	1.47	.01	1.96	1.97	3.63	3.08	.60	.53
	103	4.45	.29	1.55	.02	1.91	.55	3.57	3.20	.52	.60
	104	4.36	.23	1.54	.01	1.87	.68	3.50	3.30	.43	.68
	105	4.28	.19	1.53	.00	1.82	.83	3.43	3.36	.33	.77
	106	4.20	.18	1.51	.00	1.78	.98	3.36	3.40	.24	.87
	107	4.12	.20	1.49	.01	1.74	1.12	3.28	3.08	.16	.98
	108	4.05	.25	1.47	.02	1.70	1.22	3.21	2.97	.09	1.09
	109	3.99	.33	1.44	.04	1.66	1.28	3.14	2.86	.04	1.31
	110	3.93	1.53	1.40	.07	1.62	1.41	2.06	2.74	.12	1.31
	111	3.88	2.13	1.36	.11	1.58	1.60	2.10	2.63	.40	1.31
	112	3.84	2.87	1.32	.16	1.54	1.80	2.12	2.51	.84	1.29
	113	3.80	3.69	1.27	.22	1.50	2.03	2.12	2.39	1.38	1.27
	114	3.78	4.53	1.21	.29	1.47	2.27	2.09	2.27	1.97	1.25
