loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	75	8.45	.04	6.12	8.92	1.52	6.43	8.50	7.05	10.21	2.64
	76	8.92	.05	6.58	8.92	1.43	6.63	8.03	7.22	10.07	2.69
	77	9.29	.07	7.06	8.88	1.34	6.80	7.42	7.38	9.90	2.74
	78	9.56	.12	7.53	8.82	1.25	6.95	6.71	7.53	9.70	2.81
	79	9.74	.09	8.02	8.73	1.16	7.08	5.92	7.66	9.47	2.90
	80	9.83	.06	8.50	8.61	1.08	7.20	5.08	7.77	9.23	2.99
	81	9.84	.20	8.95	8.46	.99	7.31	5.80	7.87	8.97	3.09
	82	9.77	.29	9.38	8.28	.91	7.42	5.92	7.94	8.69	3.19
	83	9.61	.40	9.77	8.06	.83	7.52	6.03	7.99	8.40	3.29
	84	11.11	.53	10.11	7.81	.76	12.87	6.12	8.01	7.80	3.39
	85	10.95	.67	10.39	7.52	.69	12.56	6.18	8.01	7.42	3.49
	86	10.92	.81	10.62	7.21	.64	11.79	6.23	7.96	7.20	3.57
	87	10.88	.94	10.78	6.88	.60	11.41	6.26	7.91	6.87	3.65
	88	10.83	1.06	10.88	6.54	.57	11.16	6.26	7.82	6.52	3.72
	89	10.76	1.16	10.90	6.19	.54	10.88	6.24	7.73	6.14	3.77
	90	10.68	1.24	10.88	5.85	.51	10.56	6.20	7.59	5.75	3.81
	91	10.59	1.90	10.78	5.52	.51	10.21	6.04	7.44	5.34	3.83
	92	10.48	2.13	10.63	5.20	.51	9.83	5.84	7.25	4.93	3.84
	93	10.36	2.35	10.44	4.90	.51	9.42	5.59	7.05	4.52	3.84
	94	10.23	2.56	10.21	6.44	.51	8.98	5.30	6.85	4.11	3.82
	95	10.07	2.72	9.95	6.35	.51	8.51	4.95	6.63	3.72	5.77
	96	9.91	2.84	9.67	6.28	.51	8.02	4.56	6.68	3.35	6.22
	97	9.74	2.89	5.24	6.20	.50	7.52	4.13	6.98	3.02	6.65
	98	9.55	2.90	5.36	6.12	.40	7.00	3.67	7.24	1.72	7.04
	99	9.35	2.93	5.45	6.05	.40	6.49	3.19	7.49	1.45	7.37
	100	9.14	3.13	5.52	4.71	.41	5.97	2.71	7.70	1.30	7.63
	101	8.93	3.33	5.56	5.40	.42	5.47	2.24	7.87	1.31	7.81
	102	8.70	3.52	5.57	5.98	.41	4.99	1.81	7.98	.09	7.90
	103	8.47	3.70	5.86	12.84	.41	5.04	1.42	8.06	.13	7.90
	104	8.24	3.84	6.01	13.18	.41	4.58	1.10	8.06	.17	7.81
	105	8.00	3.95	6.17	13.46	.41	4.04	.84	8.00	.22	7.64
