loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	76	13.20	.66	1.11	6.12	.19	1.03	.75	.36	8.67	4.45
	77	13.45	.56	1.04	5.89	.18	1.00	.56	.34	8.42	4.31
	78	13.53	.80	.95	5.74	.17	.98	.41	.32	8.15	4.18
	79	13.52	1.10	.86	5.57	.16	.96	.29	.32	7.86	4.07
	80	13.52	1.58	.77	5.38	.15	.94	.22	.32	7.56	3.98
	81	13.56	.48	.68	5.18	.14	.92	1.14	.32	7.24	3.91
	82	13.65	.44	.58	4.95	.13	.91	1.30	.33	6.93	3.85
	83	13.71	.40	.48	4.72	.12	.90	1.46	.35	6.60	3.81
	84	13.48	.36	.39	4.47	.11	.41	1.61	.37	6.78	3.79
	85	10.73	.32	.31	4.21	.10	.27	1.77	.39	6.82	3.79
	86	10.51	.28	.23	3.95	.10	.15	1.92	.41	6.70	3.80
	87	10.28	.25	.16	3.68	.09	.03	2.05	.43	6.35	3.82
	88	10.05	.22	.11	3.42	.08	.03	2.18	.45	5.97	3.86
	89	9.80	.20	.06	3.16	.08	.04	2.29	.47	5.55	3.91
	90	9.53	.18	.03	2.90	.08	.05	2.39	.49	5.10	3.98
	91	9.26	.74	.01	2.65	.07	.08	2.40	.50	4.64	4.04
	92	8.98	.88	.00	2.41	.07	.13	2.40	.51	4.17	4.12
	93	8.69	1.03	.00	2.18	.07	.20	2.40	.52	3.70	4.19
	94	8.38	1.20	.01	.43	.07	.28	2.40	.53	3.27	4.27
	95	8.07	1.36	.03	.44	.07	.38	2.41	.54	2.87	3.29
	96	7.74	1.53	.06	.45	.07	.50	2.41	.17	2.52	3.01
	97	7.41	1.69	.43	.47	.07	.64	2.41	.16	2.22	2.71
	98	7.07	1.86	.54	.48	.41	.79	2.41	.15	1.54	2.41
	99	6.72	1.92	.68	.49	.40	.94	2.41	.14	1.84	2.12
	100	6.36	1.76	.85	.74	.38	1.10	2.40	.13	2.18	1.83
	101	6.00	1.60	1.05	1.01	.36	1.26	2.38	.12	2.55	1.56
	102	5.63	1.43	1.26	1.21	.34	1.43	2.36	.11	1.32	1.32
	103	5.26	1.25	1.31	2.26	.32	2.03	2.33	.11	1.75	1.10
	104	4.90	1.08	1.30	2.36	.30	2.17	2.30	.10	2.21	.91
	105	4.53	.91	1.28	2.46	.28	2.25	2.26	.10	2.64	.74
	106	4.17	.77	1.26	2.55	.26	2.27	2.22	.11	3.02	.60
	107	3.81	.65	1.23	2.64	.24	2.22	2.17	.05	3.32	.49
	108	3.46	.57	1.20	2.73	.22	2.09	2.12	.04	3.53	.40
	109	3.13	.53	1.16	2.81	.20	1.90	2.06	.03	3.64	.47
	110	2.80	2.47	1.12	2.89	.18	1.91	1.09	.02	4.22	.48
	111	2.49	2.76	1.08	2.96	.17	1.98	1.02	.02	5.00	.48
	112	2.20	3.19	1.02	3.03	.16	2.06	.95	.03	5.67	.48
	113	1.93	3.74	.97	3.08	.15	2.15	.88	.04	6.18	.48
	114	1.68	4.34	.91	3.13	.15	2.24	.81	.05	6.53	.47
	115	1.45	4.93	.85	3.17	.15	2.33	.73	.07	6.73	.46
	116	1.24	5.49	.79	3.20	.16	2.41	.00	.09	6.42	.44
	117	1.06	8.90	.73	3.22	.29	2.50	.00	.11	6.51	.42
	118	.90	9.02	.68	3.23	.32	2.57	.00	.13	6.58	.40
	119	.77	9.14	.62	3.23	.33	2.62	.00	.15	6.64	.37
	120	.66	9.26	.56	3.23	.35	2.66	.00	.18	6.68	.34
	121	.57	9.37	.52	3.21	.36	2.69	.00	.20	6.70	.31
	122	.49	9.48	.47	3.18	.36	2.69	.00	.23	6.70	.27
	123	.44	9.58	.43	3.15	.36	2.67	.00	.25	6.67	.23
	124	.39	9.67	.40	3.10	.35	2.64	.00	.27	6.61	.19
	125	.36	9.74	.37	3.06	.34	2.36	.00	.29	6.53	.15
	126	.34	9.80	.35	3.00	.32	2.33	.00	.32	6.42	.12
	127	.33	9.83	.33	2.94	.30	2.30	.00	1.30	6.30	.09
	128	1.35	9.83	.32	3.35	.30	2.27	.00	1.44	6.15	.06
	129	1.29	9.81	.31	3.50	.29	2.24	.00	1.59	5.98	.04
	130	1.24	9.75	.30	3.69	.28	2.20	.00	1.76	5.80	.03
	131	1.20	9.66	.30	3.89	.43	2.17	.00	1.94	5.61	.02
	132	1.16	9.54	.30	4.09	.56	2.13	.00	2.14	5.42	.01
	133	1.12	9.38	.30	3.93	.72	2.09	.00	2.36	5.22	.02
	134	1.09	9.18	.31	4.45	.89	2.05	.00	2.59	5.03	.02
	135	1.06	8.95	.31	4.94	1.08	2.00	.00	2.84	4.84	.03
	136	1.04	8.69	.32	5.41	1.29	1.97	.00	3.10	.00	.05
	137	1.04	8.40	.33	3.33	1.50	1.93	.00	3.38	.00	.06
	138	1.04	8.07	.34	3.49	1.71	1.89	.00	3.67	.00	.08
	139	1.05	7.72	.28	3.64	1.93	1.86	.00	3.98	.00	.00
	140	1.07	7.35	.13	3.76	2.14	1.83	.00	4.56	.00	.00
	141	1.01	4.26	.14	3.87	2.34	1.80	.00	5.12	.00	.00
	142	1.22	4.04	.17	3.96	2.53	1.78	.00	5.64	.00	.00
	143	1.41	3.86	.19	4.03	2.70	1.76	.00	6.14	.00	.00
	144	1.64	3.70	.22	4.09	2.85	1.75	.00	6.59	.00	.00
	145	1.89	3.58	.26	4.12	2.99	1.74	.00	7.00	.00	.00
	146	2.14	3.48	.31	4.01	3.10	1.74	.00	7.35	.00	.00
	147	2.38	3.37	.36	3.87	3.18	1.74	.00	7.63	.00	.00
	148	2.59	3.26	.42	3.72	2.17	1.74	.00	7.85	.00	.00
