loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.77	.83	3.36	1.53	5.99	4.50	.70	4.95	.32	.53
	1	.74	.81	3.31	1.84	5.72	4.41	.69	5.63	.29	.52
	2	1.26	.81	3.24	2.19	5.44	4.31	.67	6.11	.32	.51
	3	1.30	.81	3.17	2.57	5.15	4.20	.66	6.33	.40	.51
	4	1.34	.84	3.09	2.95	4.86	4.08	.66	6.47	.48	.52
	5	1.38	.87	3.01	3.32	4.56	3.95	.65	6.76	.40	.53
	6	1.42	.93	2.93	3.66	4.27	3.80	.64	7.05	.32	.55
	7	1.47	1.00	2.84	3.93	3.98	3.65	.64	7.31	.23	.57
	8	1.52	1.09	2.76	4.12	3.70	3.48	.64	7.55	.15	.59
	9	1.57	1.20	2.68	4.24	3.44	3.31	.64	7.74	.52	.61
	10	1.63	1.33	2.60	4.30	3.19	3.13	.64	7.88	.54	.64
	11	1.69	1.48	2.52	4.28	2.97	2.94	.64	7.96	.55	.66
	12	1.75	1.64	2.45	4.23	2.78	2.74	.65	8.00	.57	.69
	13	1.81	1.83	2.38	4.19	2.62	2.54	.66	10.08	.59	.71
	14	1.88	2.04	2.30	4.35	2.50	2.34	.67	10.29	.61	.73
	15	1.94	2.26	2.23	4.49	2.41	2.14	.68	10.49	.64	.47
	16	2.01	2.50	2.16	4.62	2.35	1.94	.69	10.67	.66	.46
	17	2.08	2.76	2.09	4.73	2.33	1.75	.71	10.85	.68	.45
	18	2.14	3.03	2.02	4.83	2.33	1.57	.73	11.00	.71	.43
	19	2.21	3.31	1.95	4.91	2.36	1.33	.75	11.14	.73	.42
	20	2.27	3.60	1.88	4.98	2.42	1.33	.78	11.27	.76	.42
	21	2.33	3.90	2.14	5.02	2.49	1.34	.81	11.37	.78	.41
	22	2.39	4.20	2.21	5.05	2.58	1.35	.83	11.45	.81	.41
	23	2.45	4.51	2.28	5.06	2.67	1.37	.87	11.51	.84	.41
	24	2.50	4.82	2.36	5.05	2.77	1.40	.90	11.54	.87	.42
	25	2.55	5.14	2.43	5.01	2.88	1.43	.94	11.55	.90	.43
	26	2.60	5.46	2.51	4.96	2.98	1.47	.98	11.54	.93	.44
	27	2.64	5.77	2.59	4.88	3.08	1.50	.64	11.51	.96	.46
	28	2.68	6.09	2.66	4.79	2.92	1.54	.62	11.45	.99	.48
	29	2.71	6.41	2.73	4.68	2.64	1.57	.59	11.37	1.02	.51
	30	2.74	6.72	2.79	4.55	2.35	1.61	.56	11.27	1.05	.54
	31	2.77	7.03	2.85	4.41	2.06	1.64	.51	11.15	1.08	.87
	32	2.80	7.34	2.90	4.26	1.78	1.67	.46	11.01	1.11	1.05
	33	2.82	7.64	2.93	4.09	1.52	1.71	.40	10.85	1.14	1.25
	34	2.84	7.93	2.96	3.92	1.29	1.75	.34	10.68	1.18	1.46
	35	2.86	8.21	2.96	3.74	1.10	1.81	.27	10.50	1.21	1.68
	36	2.88	8.49	2.96	5.32	.44	1.87	.21	10.30	1.24	1.91
	37	2.90	8.76	2.93	5.52	.25	1.95	.15	10.10	1.26	2.14
	38	1.35	9.02	2.89	5.72	.11	2.04	.10	9.89	1.29	2.36
	39	1.34	9.27	2.83	5.92	.03	2.14	.06	9.67	1.32	2.56
	40	1.31	9.51	2.75	6.11	.01	2.25	.03	9.45	1.34	2.75
	41	1.28	9.74	2.66	6.29	.06	2.37	.01	9.22	1.37	2.91
	42	1.24	9.96	2.56	6.47	.18	2.50	.00	9.00	1.39	3.05
	43	1.18	10.16	2.44	6.62	.36	2.63	.01	8.77	1.41	3.17
	44	1.11	10.36	2.32	6.77	.59	2.77	.02	8.55	1.43	3.26
	45	1.03	10.54	2.19	6.89	.71	2.91	.04	8.32	1.45	3.03
	46	.95	13.75	2.05	6.98	.84	4.32	.15	8.10	1.46	3.17
	47	.86	14.35	1.91	7.05	.99	3.95	.19	7.89	1.48	3.31
	48	.76	14.84	1.78	7.09	1.16	3.58	.25	7.67	1.49	3.43
	49	.66	15.21	1.64	7.10	1.33	3.24	.32	7.46	1.50	3.53
	50	.56	15.46	1.51	7.08	1.50	2.92	.41	7.26	1.51	3.61
	51	.46	13.87	1.38	7.03	1.66	2.64	.51	7.06	1.52	3.66
	52	.37	13.53	1.26	6.95	1.88	2.40	.62	6.86	1.53	3.69
	53	.29	13.16	1.14	6.84	1.79	2.21	.76	6.67	1.54	3.69
	54	.21	12.76	1.04	6.70	1.69	2.07	.91	2.29	1.54	3.67
	55	.15	12.32	.94	6.54	1.58	1.98	1.07	2.80	1.55	3.65
	56	.10	11.84	.84	6.35	1.46	1.93	1.25	3.27	1.55	3.61
	57	.06	11.32	.76	6.14	1.32	1.92	1.44	3.66	.94	3.57
	58	.03	10.78	.68	5.91	1.18	1.93	1.65	3.96	.93	3.54
	59	.01	10.20	.09	5.67	1.03	1.97	1.86	4.16	.91	3.50
	60	.00	9.60	.24	5.42	.88	2.24	2.08	4.26	.87	4.00
	61	.00	8.97	.47	5.16	.74	2.47	2.29	4.26	.83	3.90
	62	.01	8.33	.11	4.90	.60	2.70	2.51	4.17	.76	3.78
	63	.03	7.67	.08	4.65	.47	2.93	2.72	3.99	.69	3.64
	64	.06	7.01	.11	4.39	.36	3.15	2.93	3.73	.61	3.49
	65	.16	6.35	.16	4.14	.26	3.34	3.12	6.58	.52	3.32
	66	.32	5.70	.23	3.91	.18	3.51	3.30	6.69	.43	3.13
	67	.53	5.06	.31	3.68	1.27	3.64	3.47	6.79	.34	2.93
