loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	1.42	1.60	7.33	.57	3.79	3.39	2.33	1.81	1.91	.25
	1	.98	1.50	7.56	.67	3.79	3.38	2.24	1.41	1.85	.30
	2	.88	1.40	7.77	.77	3.80	3.35	2.15	1.05	1.75	.36
	3	.89	1.30	7.96	.89	3.81	3.28	2.06	.75	1.62	.43
	4	.91	1.20	8.10	1.01	3.82	3.18	1.98	.64	1.52	.50
	5	.93	1.10	8.21	1.13	3.83	3.05	1.91	.66	1.70	.58
	6	.95	.99	8.27	1.25	3.85	2.89	1.85	.69	1.88	.67
	7	.97	.89	8.29	1.37	3.86	2.69	1.80	.72	2.05	.76
	8	.99	.79	8.26	1.48	3.89	2.48	1.75	.75	2.23	.86
	9	1.02	.68	8.18	1.57	3.91	2.25	1.72	.78	5.82	.96
	10	1.04	.58	8.06	1.66	3.94	2.02	1.69	.81	6.03	1.07
	11	1.07	.49	7.89	1.73	3.97	1.79	1.67	.84	6.24	1.17
	12	1.09	.39	7.67	1.79	4.01	1.57	1.66	.87	6.47	1.28
	13	1.12	.31	7.42	1.83	4.04	1.37	1.66	2.05	6.69	1.38
	14	1.15	.23	7.13	1.89	4.08	1.18	1.66	2.09	6.93	1.47
	15	1.18	.16	6.82	1.94	4.12	1.02	1.66	2.14	7.16	.79
	16	1.20	.11	6.48	1.99	4.16	.89	1.67	2.19	7.41	.76
	17	1.23	.07	6.13	2.04	4.19	.77	1.67	2.23	7.65	.72
	18	1.25	.04	5.76	2.08	4.23	.68	1.68	2.28	7.90	.68
	19	1.28	.03	5.39	2.12	4.26	1.34	1.68	2.32	8.15	.65
	20	1.30	.04	5.03	2.16	4.28	1.29	1.68	2.36	8.40	.61
	21	1.32	.07	5.03	2.18	4.30	1.24	1.68	2.40	8.65	.58
	22	1.34	.13	4.97	2.20	4.31	1.18	1.67	2.43	8.90	.56
	23	1.35	.20	4.90	2.21	4.32	1.13	1.66	2.46	9.15	.54
	24	1.36	.30	4.83	2.21	4.32	1.07	1.65	2.49	9.40	.53
	25	1.37	.41	4.75	2.20	4.30	1.02	1.63	2.52	9.64	.54
	26	1.38	.54	4.67	2.19	4.28	.97	1.60	2.54	9.88	.55
	27	1.39	.69	4.58	2.16	4.25	.91	.28	2.56	10.11	.58
	28	1.39	.85	4.49	2.13	3.94	.86	.27	2.58	10.33	.62
	29	1.39	1.02	4.39	2.09	3.47	.81	.26	2.60	10.55	.66
	30	1.40	1.19	4.29	2.04	2.98	.77	.26	2.61	10.75	.71
	31	1.40	1.37	4.18	1.99	2.49	.73	.26	2.62	10.95	.75
	32	1.40	1.56	4.07	1.94	2.02	.70	.28	2.63	11.13	.77
	33	1.40	1.74	3.95	1.88	1.59	.67	.31	2.63	11.31	.79
	34	1.39	1.93	3.83	1.82	1.23	.65	.36	2.64	11.47	.83
	35	1.39	2.11	3.70	1.75	.93	.64	.42	2.64	11.62	.86
	36	1.39	2.29	3.57	2.94	.46	.63	.50	2.63	11.75	.90
	37	1.39	2.46	3.43	3.00	.64	.63	.60	2.63	11.88	.93
	38	1.23	2.63	3.29	3.05	.87	.65	.72	2.62	11.99	.97
	39	1.20	2.79	3.14	3.10	1.16	.67	.85	2.61	12.09	.99
	40	1.16	2.95	2.99	3.14	1.49	.69	1.00	2.60	12.17	1.01
	41	1.12	3.10	2.84	3.17	1.83	.73	1.16	2.59	12.25	1.03
	42	1.07	3.24	2.68	3.20	2.17	.77	1.34	2.57	12.31	1.03
	43	1.02	3.37	2.52	3.22	2.46	.82	1.52	2.55	12.36	1.04
	44	.97	3.50	2.36	3.23	2.71	.87	1.71	2.53	12.39	1.04
	45	.92	3.62	2.20	3.22	2.69	.92	1.90	2.50	12.42	1.64
	46	.87	4.68	2.04	3.21	2.65	.44	2.55	2.47	12.43	1.87
	47	.81	3.71	1.88	3.17	2.59	.36	2.77	2.44	12.43	2.11
	48	.76	2.74	1.73	3.12	2.53	.29	3.01	2.41	12.42	2.35
	49	.71	1.85	1.58	3.06	2.46	.23	3.27	2.38	12.40	2.58
	50	.66	1.11	1.43	2.98	2.38	.18	3.55	2.34	12.37	2.80
	51	.62	.44	1.29	2.89	2.29	.15	3.85	2.31	12.32	3.00
	52	.58	.44	1.16	2.77	3.36	.12	4.18	2.27	12.27	3.17
	53	.54	.45	1.04	2.65	3.65	.11	4.52	2.23	12.21	3.31
	54	.51	.46	.92	2.52	3.96	.11	4.88	.96	12.13	3.42
	55	.48	.48	.81	2.37	4.27	.13	5.26	.95	12.05	3.49
	56	.46	.50	.71	2.22	4.58	.15	5.64	1.06	11.96	3.52
	57	.44	.52	.62	2.07	4.90	.19	6.04	1.27	8.42	3.51
	58	.42	.55	.54	1.92	5.20	.25	6.43	1.56	8.82	3.47
	59	.41	.58	.39	1.76	5.50	.31	6.83	1.88	9.10	3.39
	60	.40	.62	.48	1.62	5.79	.18	7.22	2.21	9.26	5.20
	61	.39	.66	.58	1.48	6.05	.17	7.60	2.53	9.31	5.23
	62	.39	.71	.84	1.34	6.30	.16	7.96	2.82	9.25	5.24
	63	.38	.77	.86	1.22	6.51	.15	8.31	3.07	9.10	5.24
	64	.40	.84	.81	1.10	6.69	.14	8.65	3.30	8.88	5.22
	65	.46	.90	.75	1.00	6.85	.13	8.97	1.67	8.60	5.18
	66	.51	.98	.67	.90	6.96	.12	9.27	1.60	8.27	5.12
	67	.56	1.06	.59	.81	12.99	.11	9.54	1.52	7.91	5.04
	68	.60	1.15	.50	.73	13.52	.11	9.80	1.44	7.53	4.94
	69	.63	1.24	.41	.66	14.03	.10	10.04	1.36	7.13	4.81
	70	.65	1.33	.32	.60	14.50	.45	10.26	1.29	5.62	4.67
	71	.66	1.42	.24	.02	14.92	.51	10.46	1.21	5.02	4.50
	72	.64	1.51	.17	.06	15.27	.59	10.64	1.14	4.43	4.32
	73	.60	.04	.11	.08	15.55	.68	21.68	1.07	3.85	4.12
	74	.56	.04	.07	.12	15.75	.79	22.15	1.01	3.30	3.91
	75	.51	.03	.66	.18	15.87	.91	22.58	.95	3.20	3.69
	76	.47	.03	.79	.25	15.91	1.04	22.96	.90	3.11	3.47
	77	.42	.04	.94	.34	15.87	1.20	23.29	.86	3.02	3.24
	78	.38	.06	1.10	.43	15.76	1.36	23.56	.82	2.92	3.02
	79	.34	.08	1.28	.01	15.57	1.54	23.77	.80	2.81	2.80
	80	.30	.12	1.48	.02	15.31	1.72	23.91	.78	2.69	2.59
	81	.26	.17	1.70	.05	14.99	1.90	23.99	.77	2.57	2.38
	82	.20	.23	1.93	.08	14.62	2.09	24.01	.77	2.43	2.19
	83	.20	.31	2.18	.13	14.20	2.27	23.95	.78	2.29	2.01
	84	.22	.41	2.44	.20	13.74	2.44	23.84	.80	2.14	1.84
	85	.23	.52	2.71	.29	13.26	2.60	23.65	.83	1.98	1.36
	86	.25	.65	2.99	.39	12.77	3.06	23.41	.87	1.81	1.41
	87	.28	.80	3.28	.52	12.28	2.53	23.10	.91	1.65	1.48
