loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.57	.23	8.73	.72	1.53	.88	1.07	.50	1.87	11.17
	1	.73	.20	9.02	.64	1.47	.99	1.09	.55	1.90	11.30
	2	1.96	.18	9.31	.54	1.40	1.11	1.12	.62	1.92	11.40
	3	1.99	.16	9.60	.45	1.34	1.25	1.15	.70	1.93	11.46
	4	2.02	.14	9.89	.36	1.27	1.39	1.19	.81	1.87	11.49
	5	2.04	.12	10.17	.27	1.20	1.53	1.24	.92	1.58	11.48
	6	2.07	.10	10.44	.19	1.13	1.68	1.30	1.03	1.26	11.42
	7	2.09	.08	10.70	.13	1.07	1.81	1.37	1.15	.94	11.31
	8	2.12	.06	10.95	.08	1.01	1.94	1.45	1.26	.65	11.14
	9	2.14	.05	11.17	.04	.95	2.06	1.55	1.37	.86	10.90
	10	2.15	.04	11.37	.01	.89	2.16	1.66	1.46	.87	10.60
	11	2.17	.03	11.54	.00	.84	2.24	1.78	1.56	.88	10.20
	12	2.19	.02	11.68	.01	.80	2.30	1.91	1.64	.88	9.72
	13	2.19	.02	11.78	.02	.76	2.35	2.05	1.54	.89	9.15
	14	2.20	.02	11.84	.01	.73	2.37	2.20	1.47	.89	8.52
	15	2.21	.02	11.85	.01	.71	2.38	2.35	1.39	.89	15.32
	16	2.20	.03	11.80	.02	.70	2.36	2.51	1.32	.89	15.28
	17	2.20	.04	11.70	.03	.69	2.34	2.66	1.25	.89	15.21
	18	2.19	.05	11.54	.04	.69	2.30	2.81	1.17	.88	15.11
	19	2.17	.07	11.32	.07	.69	4.05	2.96	1.10	.87	14.97
	20	2.15	.09	11.04	.10	.70	4.03	3.10	1.03	.86	14.79
	21	2.13	.12	12.18	.14	.71	4.00	3.23	.96	.86	14.57
	22	2.10	.15	12.05	.19	.73	3.95	3.34	.89	.84	14.31
	23	2.06	.18	11.92	.24	.74	3.90	3.45	.82	.83	14.01
	24	2.02	.22	11.78	.31	.76	3.83	3.54	.75	.82	13.65
	25	1.97	.26	11.62	.38	.77	3.75	3.63	.69	.80	13.25
	26	1.92	.30	11.46	.46	.79	3.66	3.70	.62	.79	12.81
	27	1.87	.35	11.28	.55	.80	3.56	3.73	.56	.78	12.32
	28	1.81	.40	11.09	.65	.92	3.46	3.58	.50	.76	11.79
	29	1.75	.45	10.89	.75	1.11	3.34	3.41	.45	.74	11.24
	30	1.68	.50	10.67	.85	1.35	3.21	3.22	.39	.73	10.68
	31	1.62	.55	10.43	.96	1.64	3.08	3.03	.34	.72	4.20
	32	1.55	.61	10.18	1.07	1.98	2.95	2.83	.30	.70	4.29
	33	1.48	.66	9.90	1.18	2.36	2.82	2.62	.25	.69	4.37
	34	1.41	.72	9.61	1.28	2.77	2.68	2.42	.21	.68	4.43
	35	1.35	.77	9.30	1.39	3.20	2.55	2.24	.18	.67	4.48
	36	1.28	.83	8.96	2.58	.51	2.42	2.07	.14	.66	4.51
	37	1.22	.88	8.61	2.64	.35	2.30	1.91	.12	.66	4.51
	38	1.10	.93	8.23	2.69	.21	2.18	1.79	.09	.66	4.50
	39	1.19	.99	7.84	2.74	.10	2.08	1.68	.07	.65	4.46
	40	1.28	1.04	7.43	2.79	.04	1.98	1.61	.06	.65	4.40
	41	1.39	1.09	7.00	2.83	.04	1.90	1.56	.05	.65	4.32
	42	1.50	1.14	6.57	2.87	.12	1.83	1.54	.04	.65	4.23
	43	1.63	1.19	6.12	2.92	.25	1.76	1.54	.04	.66	4.11
	44	1.76	1.23	5.68	2.95	.43	1.71	1.56	.04	.66	3.98
	45	1.91	1.28	5.24	2.99	.42	1.67	1.60	.04	.66	2.96
	46	2.06	1.94	4.80	3.02	.39	3.13	1.05	.04	.67	3.48
	47	2.21	1.82	4.38	3.04	.36	3.37	1.11	.05	.67	4.06
	48	2.37	1.67	3.98	3.06	.33	3.62	1.17	.06	.68	4.66
	49	2.53	1.52	3.59	3.08	.30	3.87	1.25	.08	.68	5.27
	50	2.69	1.35	3.23	3.10	.27	4.12	1.34	.09	.68	5.86
	51	2.85	1.50	2.90	3.11	.24	4.36	1.45	.11	.69	6.43
	52	3.01	1.51	2.59	3.11	.68	4.59	1.58	.13	.69	6.94
	53	3.16	1.53	2.30	3.11	.99	4.80	1.71	.15	.69	7.39
	54	3.30	1.55	2.04	3.11	1.37	5.00	1.87	.79	.70	7.78
	55	3.43	1.59	1.80	3.10	1.82	5.17	2.04	1.06	.70	8.10
	56	3.55	1.64	1.58	3.09	2.33	5.31	2.22	1.36	.70	8.35
