loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	77	2.89	4.78	3.20	2.30	.21	16.83	7.07	16.66	12.58	4.51
	78	3.38	6.60	3.10	2.29	.21	16.73	6.99	17.22	12.36	4.60
	79	3.96	6.85	2.99	2.28	.21	16.61	6.85	17.71	12.07	4.67
	80	4.58	7.21	2.89	2.26	.21	16.46	6.65	18.12	11.72	4.72
	81	5.21	10.76	2.79	2.24	.21	16.30	2.04	18.43	11.31	4.76
	82	5.82	10.98	2.68	2.22	.21	16.12	1.81	18.67	10.85	4.77
	83	6.40	11.17	2.58	2.18	.22	15.94	1.57	18.81	10.34	4.77
	84	6.25	11.30	2.48	2.15	.22	11.89	1.34	18.87	5.88	4.74
	85	.91	11.38	2.39	2.11	.22	11.62	1.11	18.85	5.31	4.70
	86	.82	11.39	2.30	2.06	.23	11.17	.90	18.75	5.02	4.65
	87	.73	11.32	2.23	2.00	.23	23.70	.69	18.58	4.83	4.59
	88	.64	11.17	2.17	1.95	.24	24.45	.52	18.35	4.63	4.51
	89	.56	10.95	2.11	1.89	.25	25.09	.36	18.04	4.43	4.43
	90	.48	10.63	2.07	1.82	.26	25.60	.23	17.68	4.22	4.33
	91	.40	8.56	2.04	1.75	.27	25.99	.14	17.27	4.01	4.24
	92	.33	8.73	2.03	1.67	.29	26.26	.07	16.82	3.80	4.14
	93	.27	8.84	2.02	1.60	.30	26.40	.03	16.31	3.59	4.03
	94	.21	8.85	2.03	.46	.32	26.42	.02	15.77	3.39	3.93
	95	.16	8.79	2.05	.34	.33	26.33	.05	15.19	3.18	2.29
	96	.11	8.64	2.07	.24	.35	26.12	.12	17.51	2.99	2.68
	97	.07	8.40	1.00	.19	.37	25.82	.24	16.93	2.80	3.11
	98	.04	8.07	.99	.17	1.01	25.41	.41	16.30	2.57	3.57
	99	.02	7.84	.98	.20	1.06	24.92	.63	15.64	2.85	4.05
	100	.01	7.98	.99	.72	1.12	24.34	.90	14.94	3.22	4.53
	101	.01	8.07	1.00	.69	1.18	23.69	1.20	14.24	3.62	5.00
	102	.03	8.10	1.02	.92	1.24	22.95	1.54	13.52	4.45	5.45
	103	.05	8.05	1.42	.35	1.31	17.11	1.90	12.81	4.72	5.87
	104	.10	7.93	1.47	.41	1.39	17.68	2.28	12.12	4.98	6.24
	105	.16	7.72	1.52	.48	1.47	18.14	2.66	11.46	5.21	6.57
	106	.24	7.42	1.58	.55	1.57	18.50	3.03	10.84	5.43	6.84
	107	.33	7.06	1.63	.62	1.67	18.76	3.41	8.06	5.63	7.06
	108	.45	6.63	1.69	.70	1.78	18.95	3.78	8.05	5.80	7.23
	109	.59	6.17	1.76	.78	1.90	19.07	4.13	8.04	5.93	7.49
	110	.74	4.13	1.82	.86	2.03	19.86	10.09	8.00	5.87	7.50
	111	.92	3.88	1.89	.95	2.17	20.84	9.99	7.95	5.72	7.51
	112	1.12	3.59	1.96	1.03	2.32	21.79	9.81	7.87	5.53	7.54
	113	1.35	3.28	2.04	1.12	2.47	22.71	9.55	7.77	5.29	7.58
	114	1.59	2.96	2.12	1.21	2.63	23.59	9.21	7.64	5.01	7.63
	115	1.85	2.67	2.20	1.29	2.80	24.40	8.79	7.49	4.68	7.69
	116	2.12	2.39	2.28	1.38	2.97	25.14	.00	7.31	2.98	7.75
	117	2.41	1.74	2.37	1.47	1.66	25.78	.00	7.11	2.93	7.80
	118	2.72	1.74	2.46	1.55	1.76	26.31	.00	6.89	2.88	7.86
	119	3.03	1.76	2.55	1.64	1.86	26.73	.00	6.64	2.81	7.91
	120	3.35	1.78	2.64	1.72	1.96	27.01	.00	6.39	2.74	7.94
	121	3.68	1.82	2.73	1.81	2.07	27.16	.00	6.12	2.66	7.96
	122	4.01	1.86	2.82	1.89	2.17	27.14	.00	5.85	2.56	7.96
	123	4.34	1.91	2.91	1.97	2.28	26.97	.00	5.58	2.47	7.93
	124	4.68	1.98	3.00	2.06	2.39	26.62	.00	5.32	2.36	7.86
	125	5.02	2.05	3.09	2.14	2.49	22.30	.00	5.06	2.24	7.76
	126	5.35	2.14	3.17	2.22	2.59	22.02	.00	4.81	2.13	7.62
	127	5.68	2.23	3.25	2.31	2.68	21.72	.00	1.93	2.00	7.44
	128	10.38	2.33	3.32	1.62	2.67	21.40	.00	2.16	1.88	7.22
	129	10.48	2.43	3.39	2.29	2.64	21.06	.00	2.40	1.75	6.96
	130	10.58	2.53	3.45	3.01	2.61	20.71	.00	2.65	1.62	6.65
	131	10.69	2.63	3.51	3.72	2.55	20.35	.00	2.89	1.50	6.31
	132	10.81	2.71	3.56	4.39	2.58	19.97	.00	3.12	1.37	5.95
	133	10.94	2.78	3.61	6.13	2.62	19.57	.00	3.33	1.25	5.56
	134	10.84	2.83	3.65	7.71	2.65	19.16	.00	3.51	1.14	5.17
	135	10.38	2.87	3.69	9.31	2.68	18.73	.00	3.66	1.03	4.79
	136	9.80	2.89	3.72	10.82	2.71	18.29	.00	3.78	.00	4.41
	137	9.12	2.88	3.76	13.14	2.73	17.83	.00	3.86	.00	4.05
	138	8.37	2.84	3.78	12.93	2.75	17.36	.00	3.91	.00	3.71
	139	7.59	2.80	3.88	12.57	2.77	16.87	.00	3.93	.00	.00
	140	6.79	2.73	3.38	12.06	2.78	16.36	.00	3.95	.00	.00
	141	6.12	1.38	3.40	11.39	2.79	15.84	.00	4.05	.00	.00
	142	8.17	1.34	3.43	10.56	2.79	15.30	.00	4.14	.00	.00
	143	7.88	1.30	3.46	9.60	2.79	14.74	.00	4.23	.00	.00
	144	7.51	1.26	3.50	8.52	2.78	14.17	.00	4.30	.00	.00
	145	7.07	1.22	3.55	7.42	2.77	13.58	.00	4.37	.00	.00
	146	6.55	1.18	3.60	7.24	2.76	12.97	.00	4.44	.00	.00
	147	5.98	1.26	3.66	7.15	2.74	12.35	.00	4.49	.00	.00
	148	5.35	1.36	3.73	7.02	3.82	11.71	.00	4.54	.00	.00
	149	4.72	1.48	3.81	6.86	3.78	11.07	.00	4.59	.00	.00
	150	3.42	1.60	3.90	6.68	3.74	10.42	.00	3.22	.00	.00
	151	3.40	.71	4.00	6.48	3.68	9.77	.00	3.04	.00	.00
	152	3.40	.74	4.11	6.25	3.62	9.13	.00	2.83	.00	.00
	153	3.41	.75	4.23	6.00	3.55	8.49	.00	2.57	.00	.00
	154	3.43	.77	4.35	5.74	3.48	7.88	.00	2.27	.00	.00
	155	3.46	.77	4.48	5.46	3.40	7.28	.00	1.96	.00	.00
	156	3.51	.77	4.62	5.17	3.30	6.71	.00	1.62	.00	.00
	157	3.57	.34	4.76	4.87	3.21	6.17	.00	1.29	.00	.00
	158	3.64	.26	4.90	4.57	3.11	5.67	.00	.99	.00	.00
	159	3.72	.19	5.04	4.26	3.00	.00	.00	.72	.00	.00
	160	3.82	.13	5.18	3.96	2.89	.00	.00	.50	.00	.00
	161	3.91	.08	5.31	3.66	2.78	.00	.00	.34	.00	.00
	162	4.01	.04	5.43	3.37	2.66	.00	.00	.24	.00	.00
	163	4.10	.03	5.55	3.09	2.54	.00	.00	.17	.00	.00
	164	4.18	.03	5.66	2.83	2.42	.00	.00	.14	.00	.00
	165	4.24	.04	5.76	2.58	2.30	.00	.00	.50	.00	.00
	166	4.28	.08	5.84	2.34	2.18	.00	.00	.54	.00	.00
	167	4.30	.14	5.92	2.12	2.06	.00	.00	.61	.00	.00
	168	4.30	.22	5.98	.00	1.95	.00	.00	.70	.00	.00
	169	4.27	.30	6.04	.00	1.83	.00	.00	.81	.00	.00
	170	4.21	.42	6.08	.00	1.73	.00	.00	.95	.00	.00
	171	4.12	.54	6.11	.00	1.62	.00	.00	1.11	.00	.00
	172	4.01	.67	6.13	.00	1.52	.00	.00	1.29	.00	.00
	173	3.87	.80	6.14	.00	1.42	.00	.00	1.48	.00	.00
	174	3.73	.94	6.15	.00	1.33	.00	.00	1.67	.00	.00
	175	2.52	1.07	6.14	.00	1.24	.00	.00	1.87	.00	.00
	176	2.43	1.20	6.13	.00	1.16	.00	.00	2.06	.00	.00
	177	2.33	1.33	6.11	.00	1.09	.00	.00	2.43	.00	.00
	178	2.24	1.44	6.09	.00	1.02	.00	.00	1.86	.00	.00
	179	2.14	1.55	6.06	.00	.95	.00	.00	1.32	.00	.00
	180	2.04	1.64	6.02	.00	.00	.00	.00	.83	.00	.00
	181	1.95	1.73	5.99	.00	.00	.00	.00	.43	.00	.00
	182	1.85	1.81	5.95	.00	.00	.00	.00	.16	.00	.00
	183	1.76	2.23	5.91	.00	.00	.00	.00	.04	.00	.00
	184	1.67	2.51	5.86	.00	.00	.00	.00	.06	.00	.00
	185	1.60	2.84	5.82	.00	.00	.00	.00	.22	.00	.00
	186	1.53	3.19	5.78	.00	.00	.00	.00	.49	.00	.00
	187	1.47	3.55	5.74	.00	.00	.00	.00	.82	.00	.00
	188	1.42	3.89	5.69	.00	.00	.00	.00	.00	.00	.00
	189	1.39	4.21	5.69	.00	.00	.00	.00	.00	.00	.00
	190	1.38	4.48	5.21	.00	.00	.00	.00	.00	.00	.00
	191	1.37	4.70	4.61	.00	.00	.00	.00	.00	.00	.00
	192	1.38	4.85	3.97	.00	.00	.00	.00	.00	.00	.00
	193	1.39	4.95	3.63	.00	.00	.00	.00	.00	.00	.00
	194	1.42	4.98	3.79	.00	.00	.00	.00	.00	.00	.00
	195	1.45	4.95	3.93	.00	.00	.00	.00	.00	.00	.00
	196	1.70	.00	4.04	.00	.00	.00	.00	.00	.00	.00
	197	1.75	.00	4.12	.00	.00	.00	.00	.00	.00	.00
	198	1.81	.00	4.17	.00	.00	.00	.00	.00	.00	.00
	199	1.88	.00	4.18	.00	.00	.00	.00	.00	.00	.00
	200	1.96	.00	4.16	.00	.00	.00	.00	.00	.00	.00
	201	2.04	.00	4.10	.00	.00	.00	.00	.00	.00	.00
	202	2.14	.00	4.01	.00	.00	.00	.00	.00	.00	.00
	203	2.25	.00	3.88	.00	.00	.00	.00	.00	.00	.00
	204	2.37	.00	3.73	.00	.00	.00	.00	.00	.00	.00
	205	2.49	.00	3.54	.00	.00	.00	.00	.00	.00	.00
	206	1.99	.00	3.34	.00	.00	.00	.00	.00	.00	.00
	207	2.01	.00	3.11	.00	.00	.00	.00	.00	.00	.00
	208	2.13	.00	2.87	.00	.00	.00	.00	.00	.00	.00
	209	2.26	.00	2.63	.00	.00	.00	.00	.00	.00	.00
	210	2.39	.00	2.37	.00	.00	.00	.00	.00	.00	.00
	211	2.50	.00	2.12	.00	.00	.00	.00	.00	.00	.00
	212	2.57	.00	1.86	.00	.00	.00	.00	.00	.00	.00
	213	2.61	.00	1.62	.00	.00	.00	.00	.00	.00	.00
	214	2.61	.00	1.39	.00	.00	.00	.00	.00	.00	.00
	215	2.56	.00	1.17	.00	.00	.00	.00	.00	.00	.00
	216	3.25	.00	.97	.00	.00	.00	.00	.00	.00	.00
	217	3.20	.00	.80	.00	.00	.00	.00	.00	.00	.00
	218	3.15	.00	.00	.00	.00	.00	.00	.00	.00	.00
	219	3.08	.00	.00	.00	.00	.00	.00	.00	.00	.00
	220	3.00	.00	.00	.00	.00	.00	.00	.00	.00	.00
	221	2.91	.00	.00	.00	.00	.00	.00	.00	.00	.00
	222	2.80	.00	.00	.00	.00	.00	.00	.00	.00	.00
	223	2.69	.00	.00	.00	.00	.00	.00	.00	.00	.00
	224	2.56	.00	.00	.00	.00	.00	.00	.00	.00	.00
	225	2.44	.00	.00	.00	.00	.00	.00	.00	.00	.00
	226	2.31	.00	.00	.00	.00	.00	.00	.00	.00	.00
	227	2.19	.00	.00	.00	.00	.00	.00	.00	.00	.00
	228	1.50	.00	.00	.00	.00	.00	.00	.00	.00	.00
	229	1.90	.00	.00	.00	.00	.00	.00	.00	.00	.00
	230	2.27	.00	.00	.00	.00	.00	.00	.00	.00	.00
	231	2.62	.00	.00	.00	.00	.00	.00	.00	.00	.00
	232	2.90	.00	.00	.00	.00	.00	.00	.00	.00	.00
	233	3.28	.00	.00	.00	.00	.00	.00	.00	.00	.00
	234	3.29	.00	.00	.00	.00	.00	.00	.00	.00	.00
	235	3.27	.00	.00	.00	.00	.00	.00	.00	.00	.00
	236	3.22	.00	.00	.00	.00	.00	.00	.00	.00	.00
	237	3.13	.00	.00	.00	.00	.00	.00	.00	.00	.00
	238	3.01	.00	.00	.00	.00	.00	.00	.00	.00	.00
	239	2.85	.00	.00	.00	.00	.00	.00	.00	.00	.00
	240	2.68	.00	.00	.00	.00	.00	.00	.00	.00	.00
	241	2.48	.00	.00	.00	.00	.00	.00	.00	.00	.00
	242	2.15	.00	.00	.00	.00	.00	.00	.00	.00	.00
	243	1.95	.00	.00	.00	.00	.00	.00	.00	.00	.00
	244	1.77	.00	.00	.00	.00	.00	.00	.00	.00	.00
	245	1.60	.00	.00	.00	.00	.00	.00	.00	.00	.00
	246	1.44	.00	.00	.00	.00	.00	.00	.00	.00	.00
	247	1.30	.00	.00	.00	.00	.00	.00	.00	.00	.00
	248	1.17	.00	.00	.00	.00	.00	.00	.00	.00	.00
	249	.74	.00	.00	.00	.00	.00	.00	.00	.00	.00
	250	.77	.00	.00	.00	.00	.00	.00	.00	.00	.00
	251	.78	.00	.00	.00	.00	.00	.00	.00	.00	.00
	252	.79	.00	.00	.00	.00	.00	.00	.00	.00	.00
	253	.77	.00	.00	.00	.00	.00	.00	.00	.00	.00
	254	.74	.00	.00	.00	.00	.00	.00	.00	.00	.00
	255	.71	.00	.00	.00	.00	.00	.00	.00	.00	.00
	256	.67	.00	.00	.00	.00	.00	.00	.00	.00	.00
	257	.62	.00	.00	.00	.00	.00	.00	.00	.00	.00
	258	.56	.00	.00	.00	.00	.00	.00	.00	.00	.00
	259	.50	.00	.00	.00	.00	.00	.00	.00	.00	.00
	260	.44	.00	.00	.00	.00	.00	.00	.00	.00	.00
	261	.39	.00	.00	.00	.00	.00	.00	.00	.00	.00
	262	.33	.00	.00	.00	.00	.00	.00	.00	.00	.00
	263	.29	.00	.00	.00	.00	.00	.00	.00	.00	.00
	264	.25	.00	.00	.00	.00	.00	.00	.00	.00	.00
	265	.22	.00	.00	.00	.00	.00	.00	.00	.00	.00
	266	.29	.00	.00	.00	.00	.00	.00	.00	.00	.00
	267	.32	.00	.00	.00	.00	.00	.00	.00	.00	.00
