loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	77	17.23	.32	2.93	3.06	5.96	2.20	5.64	8.87	6.36	1.79
	78	17.83	.55	3.08	3.15	6.06	2.07	5.27	8.44	6.89	1.67
	79	18.25	.64	3.23	3.23	6.13	1.94	4.78	7.99	7.34	1.56
	80	18.55	.69	3.36	3.30	6.20	1.80	4.22	7.54	7.70	1.49
	81	18.75	.76	3.47	3.37	6.24	1.65	5.49	7.09	7.97	1.44
	82	18.89	1.19	3.58	3.43	6.26	1.51	5.86	6.63	8.16	1.42
	83	18.98	1.73	3.66	3.47	6.27	1.37	6.19	6.18	8.29	1.42
	84	18.24	2.36	3.72	3.51	6.25	1.22	6.46	5.74	12.76	1.44
	85	20.30	3.05	3.76	3.54	6.22	1.13	6.69	5.31	12.83	1.47
	86	20.58	3.76	3.78	3.55	6.16	1.13	6.87	4.89	13.04	1.52
	87	20.80	4.46	3.78	3.55	6.09	1.77	7.01	4.48	13.55	1.57
	88	20.96	5.12	3.77	3.53	6.00	1.92	7.11	4.10	14.05	1.63
	89	21.07	5.73	3.74	3.50	5.90	2.07	7.17	3.74	14.51	1.69
	90	21.12	6.27	3.70	3.45	5.78	2.21	7.19	3.41	14.95	1.75
	91	21.12	8.66	3.65	3.39	5.65	2.35	7.16	3.11	15.35	1.80
	92	21.08	8.75	3.60	3.31	5.53	2.49	7.09	2.84	15.69	1.85
	93	20.98	8.82	3.55	3.22	5.39	2.62	6.96	2.59	15.97	1.89
	94	20.85	8.83	3.49	3.11	5.26	2.75	6.78	2.38	16.18	1.93
	95	20.67	8.73	3.44	3.52	5.14	2.87	6.55	2.19	16.30	1.44
	96	20.45	8.51	3.39	3.88	5.02	3.00	6.28	4.06	16.31	1.77
	97	20.19	8.15	3.04	4.15	4.90	3.12	5.95	4.18	16.21	2.12
	98	19.89	7.67	3.20	4.30	1.85	3.23	5.60	4.28	16.97	2.45
	99	19.56	7.39	3.37	4.30	1.75	3.34	5.22	4.38	16.84	2.77
	100	19.19	7.77	3.54	2.49	1.64	3.45	4.83	4.47	16.07	3.04
	101	18.79	8.17	3.71	1.85	1.54	3.56	4.43	4.55	14.47	3.25
	102	18.37	8.56	3.88	1.23	1.43	3.66	4.05	4.62	14.68	3.39
	103	17.91	8.93	5.80	2.37	1.32	3.08	3.70	4.68	14.51	3.45
	104	17.42	9.24	6.06	2.59	1.21	2.46	3.37	4.73	14.24	3.43
	105	16.92	9.48	6.32	2.81	1.11	1.94	3.09	4.77	13.86	3.34
	106	16.38	9.61	6.57	3.03	1.01	1.57	2.85	4.80	13.34	3.17
	107	15.83	9.64	6.82	3.26	.91	1.36	2.65	1.47	12.65	2.94
	108	15.26	9.53	7.05	3.48	.82	1.33	2.49	1.49	11.75	2.66
	109	14.68	9.30	7.27	3.69	.75	1.45	2.36	1.50	10.59	2.54
	110	14.09	11.39	7.45	3.90	.68	1.27	3.25	1.51	10.25	2.40
	111	13.48	11.04	7.62	4.08	.63	1.02	3.28	1.51	10.27	2.25
	112	12.88	10.66	7.75	4.25	.59	.79	3.28	1.50	10.22	2.09
	113	12.27	10.27	7.84	4.39	.58	.61	3.25	1.49	10.10	1.92
	114	11.67	9.86	7.91	4.50	.58	.47	3.19	1.46	9.92	1.74
