loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	78	7.10	1.20	9.33	2.88	2.80	12.81	6.26	18.83	1.70	5.34
	79	6.80	1.23	9.47	2.93	2.84	12.50	5.83	18.29	1.72	5.50
	80	6.47	1.26	9.56	2.97	2.88	12.14	5.39	17.69	1.74	5.66
	81	6.12	1.50	9.61	3.01	2.93	11.74	7.65	17.02	1.75	5.83
	82	5.75	1.49	9.61	3.04	3.00	11.31	7.87	16.28	1.75	5.99
	83	5.37	1.50	9.56	3.05	3.08	10.86	8.04	15.48	1.75	6.15
	84	4.70	1.53	9.47	3.06	3.17	6.98	8.17	14.61	2.20	6.30
	85	8.19	1.58	9.34	3.06	3.27	5.74	8.26	13.69	1.70	6.44
	86	8.26	1.64	9.17	3.04	3.37	4.53	8.30	12.71	1.49	6.55
	87	8.31	1.72	8.96	3.01	3.48	6.63	8.29	11.68	1.41	6.65
	88	8.36	1.82	8.72	2.97	3.60	6.41	8.24	10.61	1.32	6.72
	89	8.40	1.92	8.45	2.92	3.72	6.14	8.15	9.53	1.23	6.77
	90	8.43	2.02	8.16	2.85	3.85	5.84	8.03	8.44	1.13	6.78
	91	8.45	1.64	7.85	2.78	3.97	5.50	8.20	7.38	1.04	6.76
	92	8.45	1.67	7.53	2.69	4.10	5.12	8.37	6.38	.94	6.71
	93	8.44	1.67	7.20	2.60	4.22	4.71	8.51	5.46	.85	6.63
	94	8.42	1.63	6.87	2.58	4.34	4.27	8.61	4.65	.77	6.52
	95	8.38	1.57	6.54	2.37	4.45	3.82	8.66	3.94	.69	4.44
	96	8.33	1.47	6.21	2.12	4.56	3.36	8.68	2.90	.62	5.03
	97	8.26	1.36	4.14	1.85	4.67	2.90	8.64	2.96	.56	5.64
	98	8.17	1.23	4.17	1.58	3.28	2.46	8.57	3.01	.28	6.25
	99	8.07	1.17	4.18	1.34	3.28	2.05	8.46	3.06	.12	6.82
	100	7.96	1.25	4.15	1.07	3.28	1.68	8.32	3.10	.03	7.33
	101	7.83	1.34	4.10	1.28	3.26	1.34	8.15	3.14	.01	7.74
	102	7.69	1.45	4.01	1.46	3.24	1.05	7.96	3.17	.01	8.02
	103	7.53	1.57	5.23	.24	3.22	.34	7.76	3.20	.01	8.16
	104	7.36	1.70	5.49	.22	3.19	.63	7.56	3.22	.01	8.16
	105	7.18	1.83	5.76	.20	3.17	1.00	7.35	3.23	.02	8.00
	106	6.98	1.97	6.02	.18	3.14	1.47	7.16	3.23	.03	7.71
	107	6.78	2.10	6.27	.16	3.11	1.98	6.98	1.34	.05	7.29
	108	6.56	2.23	6.50	.15	3.07	2.54	6.82	1.24	.07	6.79
	109	6.34	2.34	6.71	.14	3.04	3.11	6.68	1.14	.09	5.93
	110	6.11	2.06	6.88	.13	3.01	3.42	6.73	1.04	.29	5.82
	111	5.88	1.87	7.02	.12	2.97	3.68	6.52	.93	.72	5.69
	112	5.64	1.70	7.13	.11	2.94	3.93	6.25	.83	1.35	5.54
	113	5.41	1.55	7.20	.11	2.90	4.18	5.94	.73	2.09	5.38
	114	5.17	1.43	7.23	.11	2.86	4.40	5.58	.63	2.86	5.19
	115	4.93	1.33	7.22	.11	2.82	4.60	5.19	.53	3.61	4.98
	116	4.69	1.25	7.19	.12	2.78	4.75	.00	.44	3.31	4.74
	117	4.46	1.89	7.11	.13	4.76	4.84	.00	.35	3.39	4.49
	118	4.23	2.01	7.01	.14	4.83	4.88	.00	.28	3.45	4.22
	119	4.01	2.15	6.88	.15	4.86	4.85	.00	.21	3.50	3.93
	120	3.80	2.30	6.72	.17	4.84	4.75	.00	.15	3.53	3.63
	121	3.59	2.47	6.54	.19	4.78	4.59	.00	.11	3.53	3.31
	122	3.39	2.66	6.34	.21	4.68	4.36	.00	.07	3.51	2.99
	123	3.19	2.85	6.13	.23	4.53	4.08	.00	.04	3.46	2.67
	124	3.01	3.06	5.91	.25	4.34	3.77	.00	.02	3.37	2.35
	125	2.83	3.27	5.69	.27	4.11	1.76	.00	.01	3.25	2.04
	126	2.67	3.48	5.46	.30	3.86	1.72	.00	.00	3.10	1.75
	127	2.51	3.69	5.23	.32	3.58	1.68	.00	.07	2.91	1.48
	128	1.31	3.90	5.00	.76	3.31	1.64	.00	.03	2.70	1.23
	129	1.41	4.09	4.79	.78	3.07	1.59	.00	.01	2.48	1.01
	130	1.50	4.27	4.58	.78	2.84	1.53	.00	.02	2.24	.81
	131	1.59	4.42	4.37	.77	.44	1.47	.00	.06	2.01	.64
	132	1.67	4.56	4.18	.74	.50	1.41	.00	.14	1.78	.50
	133	1.75	4.68	4.00	.78	.57	1.35	.00	.25	1.56	.39
	134	1.82	4.77	3.83	.73	.65	1.28	.00	.38	1.36	.29
	135	1.88	4.84	3.68	.68	.72	1.22	.00	.53	1.18	.21
	136	1.90	4.89	3.53	.63	.80	1.16	.00	.69	.00	.15
	137	1.89	4.91	3.39	3.15	.88	1.11	.00	.83	.00	.11
	138	1.83	4.91	3.26	3.27	.96	1.06	.00	.97	.00	.07
	139	1.73	4.89	1.29	3.39	1.03	1.01	.00	1.09	.00	.00
	140	1.59	4.85	1.41	3.52	1.09	.98	.00	.74	.00	.00
	141	1.64	4.14	1.50	3.64	1.15	.95	.00	.60	.00	.00
	142	7.28	3.58	1.60	3.75	1.20	.94	.00	.49	.00	.00
	143	7.77	3.03	1.71	3.85	1.23	.93	.00	.40	.00	.00
	144	8.25	2.50	1.84	3.92	1.26	.93	.00	.35	.00	.00
	145	8.72	2.02	1.98	3.98	1.28	.94	.00	.34	.00	.00
	146	9.17	1.58	2.14	4.17	1.29	.96	.00	.38	.00	.00
	147	9.60	1.46	2.31	4.37	1.30	.98	.00	.45	.00	.00
	148	10.00	1.32	2.50	4.56	1.55	1.01	.00	.56	.00	.00
	149	10.36	1.17	2.71	4.73	1.59	1.04	.00	.70	.00	.00
	150	11.85	1.02	2.92	4.88	1.63	1.07	.00	.24	.00	.00
	151	11.70	.92	3.15	5.02	1.67	1.11	.00	.22	.00	.00
	152	11.54	.85	3.39	5.13	1.71	1.14	.00	.19	.00	.00
	153	11.37	.78	3.63	5.21	1.74	1.18	.00	.17	.00	.00
	154	11.18	.72	3.87	5.28	1.78	1.21	.00	.15	.00	.00
	155	10.97	.65	4.12	5.32	1.81	1.24	.00	.13	.00	.00
	156	10.75	.59	4.36	5.34	1.85	1.26	.00	.12	.00	.00
	157	10.51	3.58	4.59	5.34	1.88	1.28	.00	.11	.00	.00
	158	10.25	3.81	4.81	5.32	1.90	1.30	.00	.10	.00	.00
	159	9.98	4.06	5.02	5.28	1.92	.00	.00	.10	.00	.00
	160	9.68	4.33	5.21	5.23	1.94	.00	.00	.10	.00	.00
	161	9.38	4.60	5.38	5.16	1.95	.00	.00	.10	.00	.00
	162	9.05	4.89	5.54	5.08	1.95	.00	.00	.11	.00	.00
	163	8.72	5.19	5.67	4.99	1.95	.00	.00	.12	.00	.00
	164	8.36	5.49	5.79	4.88	1.93	.00	.00	.13	.00	.00
	165	8.00	5.79	5.89	4.78	1.91	.00	.00	.12	.00	.00
	166	7.62	6.09	5.96	4.67	1.89	.00	.00	.09	.00	.00
	167	7.24	6.38	6.02	4.55	1.85	.00	.00	.07	.00	.00
	168	6.85	6.66	6.05	.00	1.81	.00	.00	.04	.00	.00
	169	6.45	6.92	6.07	.00	1.77	.00	.00	.02	.00	.00
	170	6.06	7.17	6.06	.00	1.72	.00	.00	.01	.00	.00
	171	5.66	7.39	6.04	.00	1.66	.00	.00	.00	.00	.00
	172	5.27	7.60	6.01	.00	1.61	.00	.00	.01	.00	.00
	173	4.89	7.78	5.96	.00	1.55	.00	.00	.02	.00	.00
	174	4.51	7.95	5.90	.00	1.48	.00	.00	.05	.00	.00
	175	3.27	8.09	5.83	.00	1.42	.00	.00	.09	.00	.00
	176	3.24	8.21	5.75	.00	1.36	.00	.00	.13	.00	.00
	177	3.19	8.32	5.67	.00	1.30	.00	.00	.42	.00	.00
	178	3.13	8.40	5.58	.00	1.23	.00	.00	.58	.00	.00
	179	3.05	8.47	5.49	.00	1.18	.00	.00	.79	.00	.00
	180	2.97	8.52	5.41	.00	.00	.00	.00	1.05	.00	.00
	181	2.88	8.55	5.33	.00	.00	.00	.00	1.34	.00	.00
	182	2.78	8.57	5.25	.00	.00	.00	.00	1.65	.00	.00
	183	2.68	6.96	5.17	.00	.00	.00	.00	1.96	.00	.00
	184	2.57	7.12	5.10	.00	.00	.00	.00	2.26	.00	.00
	185	2.45	7.27	5.04	.00	.00	.00	.00	2.53	.00	.00
	186	2.34	7.41	4.97	.00	.00	.00	.00	2.78	.00	.00
	187	2.22	7.56	4.92	.00	.00	.00	.00	2.99	.00	.00
	188	2.11	7.70	4.87	.00	.00	.00	.00	.00	.00	.00
	189	1.99	7.84	5.24	.00	.00	.00	.00	.00	.00	.00
	190	1.88	7.97	5.39	.00	.00	.00	.00	.00	.00	.00
	191	1.78	8.10	5.53	.00	.00	.00	.00	.00	.00	.00
	192	1.67	8.22	5.65	.00	.00	.00	.00	.00	.00	.00
	193	1.58	8.33	5.74	.00	.00	.00	.00	.00	.00	.00
	194	1.49	8.43	5.73	.00	.00	.00	.00	.00	.00	.00
	195	1.40	8.52	5.71	.00	.00	.00	.00	.00	.00	.00
	196	3.16	.00	5.68	.00	.00	.00	.00	.00	.00	.00
	197	4.08	.00	5.63	.00	.00	.00	.00	.00	.00	.00
	198	5.05	.00	5.57	.00	.00	.00	.00	.00	.00	.00
	199	6.05	.00	5.49	.00	.00	.00	.00	.00	.00	.00
	200	7.05	.00	5.40	.00	.00	.00	.00	.00	.00	.00
	201	8.01	.00	5.30	.00	.00	.00	.00	.00	.00	.00
	202	8.93	.00	5.18	.00	.00	.00	.00	.00	.00	.00
	203	9.77	.00	5.05	.00	.00	.00	.00	.00	.00	.00
	204	10.52	.00	4.91	.00	.00	.00	.00	.00	.00	.00
	205	11.19	.00	4.76	.00	.00	.00	.00	.00	.00	.00
