loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	77	6.40	2.57	1.78	20.01	4.58	7.69	4.49	3.01	4.91	1.35
	78	6.72	3.41	1.80	19.91	4.92	7.86	3.77	3.41	5.65	1.27
	79	6.93	3.92	1.81	19.77	5.28	8.01	3.06	3.84	6.37	1.19
	80	7.06	4.46	1.80	19.58	5.65	8.13	2.40	4.29	7.07	1.12
	81	7.15	4.82	1.79	19.34	6.02	8.23	2.53	4.75	7.73	1.04
	82	7.20	5.59	1.77	19.06	6.39	8.31	2.45	5.23	8.34	.96
	83	7.24	6.42	1.74	18.72	6.76	8.37	2.38	5.70	8.89	.89
	84	6.57	7.28	1.71	18.33	7.12	11.99	2.32	6.18	15.15	.82
	85	9.36	8.12	1.68	17.89	7.46	13.41	2.26	6.64	15.85	.75
	86	9.46	8.93	1.66	17.39	7.77	14.35	2.21	7.09	16.57	.70
	87	9.55	9.67	1.64	16.84	8.06	19.87	2.15	7.52	17.68	.64
	88	9.63	10.34	1.63	16.25	8.31	20.17	2.10	7.93	18.74	.59
	89	9.71	10.93	1.63	15.61	8.53	20.29	2.03	8.32	19.74	.55
	90	9.79	11.43	1.64	14.93	8.71	20.24	1.97	8.68	20.64	.52
	91	9.86	13.05	1.66	14.23	8.85	20.05	1.85	9.01	21.42	.48
	92	9.92	13.37	1.70	13.49	8.94	19.73	1.73	9.31	22.04	.45
	93	9.97	13.65	1.74	12.75	9.00	19.31	1.59	9.58	22.48	.43
	94	10.00	13.86	1.79	9.83	9.01	18.79	1.44	9.81	22.66	.40
	95	10.03	13.99	1.84	9.92	8.98	18.20	1.29	10.01	22.52	.25
	96	10.04	14.00	1.90	9.91	8.90	17.54	1.14	9.09	21.88	.23
	97	10.04	13.83	1.77	9.77	8.80	16.84	.98	9.03	20.52	.22
	98	10.03	13.47	1.76	9.46	5.58	16.11	.83	8.93	21.56	.22
	99	10.00	13.22	1.76	8.94	5.24	15.35	.68	8.81	22.33	.23
	100	9.95	13.71	1.79	2.25	4.91	14.60	.54	8.65	22.42	.26
	101	9.89	14.23	1.84	2.04	4.59	13.85	.41	8.47	22.16	.29
	102	9.82	14.75	1.90	1.75	4.27	13.12	.31	8.26	24.20	.32
	103	9.73	15.23	2.03	2.60	3.97	9.11	.21	8.03	24.20	.36
	104	9.62	15.65	2.01	2.86	3.67	9.20	.14	7.78	23.98	.39
	105	9.50	15.97	2.00	3.15	3.37	9.22	.09	7.53	23.56	.41
	106	9.37	16.17	1.98	3.44	3.08	9.24	.05	7.27	22.96	.43
	107	9.23	16.23	1.95	3.74	2.80	9.35	.02	5.40	22.18	.42
	108	9.07	16.15	1.93	4.05	2.53	9.70	.01	5.12	21.23	.41
	109	8.91	15.93	1.89	4.35	2.26	10.36	.00	4.83	20.13	.50
	110	8.74	19.33	1.86	4.64	2.01	10.14	1.01	4.54	19.09	.44
	111	8.56	19.10	1.82	4.91	1.77	9.67	1.15	4.25	18.00	.38
	112	8.37	18.74	1.77	5.15	1.56	9.21	1.34	3.95	16.75	.32
	113	8.19	18.29	1.72	5.36	1.37	8.78	1.55	3.66	15.35	.25
	114	7.99	17.76	1.67	5.54	1.22	8.40	1.76	3.38	13.80	.19
	115	7.79	17.16	1.61	5.68	1.12	8.07	1.95	3.12	12.14	.13
