loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	78	12.04	1.28	2.35	8.26	3.17	4.31	.19	2.91	8.37	1.53
	79	11.59	1.35	2.47	8.18	3.19	4.15	.14	3.02	9.30	1.67
	80	11.02	1.45	2.59	8.05	3.20	3.99	.14	3.14	10.15	1.88
	81	10.35	1.60	2.70	7.88	3.19	3.82	.67	3.25	10.91	2.18
	82	9.63	1.92	2.81	7.68	3.17	3.65	.73	3.37	11.56	2.54
	83	8.92	2.28	2.91	7.43	3.14	3.49	.79	3.47	12.11	2.97
	84	8.14	2.68	3.00	7.15	3.10	1.23	.87	3.58	15.94	3.45
	85	10.72	3.09	3.09	6.82	3.04	.96	.95	3.67	14.23	3.97
	86	10.56	3.51	3.18	6.46	2.96	.70	1.04	3.76	13.38	4.54
	87	10.38	3.93	3.26	6.08	2.87	.72	1.14	3.85	13.49	5.12
	88	10.18	4.32	3.33	5.67	2.77	.58	1.24	3.93	13.52	5.72
	89	9.97	4.68	3.40	5.24	2.65	.45	1.33	4.00	13.47	6.33
	90	9.74	5.01	3.47	4.81	2.53	.32	1.43	4.06	13.35	6.94
	91	9.50	6.87	3.54	4.37	2.39	.22	1.52	4.12	13.15	7.55
	92	9.24	7.20	3.61	3.94	2.25	.13	1.61	4.18	12.86	8.14
	93	8.96	7.48	3.67	3.52	2.11	.07	1.70	4.22	12.49	8.72
	94	8.68	7.71	3.74	1.42	1.96	.03	1.80	4.26	12.05	9.28
	95	8.37	7.88	3.80	1.75	1.82	.02	1.89	4.29	11.53	9.37
	96	8.06	7.99	3.87	2.10	1.68	.03	1.98	5.88	10.97	9.88
	97	7.74	8.04	4.02	2.40	1.56	.06	2.07	6.21	10.40	10.32
	98	7.41	8.04	4.33	2.62	.92	.12	2.14	6.55	10.76	10.67
	99	7.08	7.86	4.65	2.74	.91	.19	2.21	6.90	11.05	10.92
	100	6.74	7.35	4.99	2.33	.89	.28	2.26	7.25	11.09	11.06
	101	6.40	6.81	5.34	2.35	.86	.37	2.31	7.58	10.89	11.08
	102	6.06	6.26	5.70	2.46	.84	.47	2.34	7.88	14.42	10.98
	103	5.73	5.71	7.74	3.89	.81	.61	2.36	8.14	14.77	10.77
	104	5.40	5.18	7.88	4.11	.78	.53	2.38	8.37	14.97	10.43
	105	5.09	4.68	8.01	4.32	.75	.51	2.38	8.54	15.05	9.99
	106	4.80	4.24	8.14	4.53	.72	.56	2.37	8.66	15.00	9.46
	107	4.53	3.87	8.24	4.73	.69	.67	2.36	5.03	14.81	8.86
	108	4.28	3.56	8.32	4.93	.66	.84	2.34	4.93	14.44	8.22
	109	4.06	3.31	8.38	5.11	.64	1.05	2.32	4.81	13.81	7.76
	110	3.87	3.21	8.42	5.28	.62	.88	2.28	4.68	14.28	7.71
	111	3.71	3.04	8.43	5.43	.60	.64	2.62	4.52	15.16	7.64
