loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	76	7.78	.64	3.56	.39	.85	6.71	2.60	6.05	16.54	2.19
	77	7.10	.69	3.76	.48	.92	6.73	2.52	6.13	15.90	2.19
	78	6.53	.68	3.96	.56	.98	6.72	2.41	6.21	15.19	2.22
	79	6.07	.74	4.15	.65	1.05	6.67	2.28	6.27	14.45	2.29
	80	5.71	.79	4.34	.75	1.12	6.61	2.13	6.31	13.67	2.39
	81	5.42	.81	4.51	.85	1.18	6.53	2.15	6.33	12.87	2.52
	82	5.17	.90	4.68	.97	1.24	6.44	2.18	6.32	12.05	2.68
	83	4.94	1.00	4.82	1.09	1.28	6.35	2.17	6.29	11.24	2.86
	84	4.92	1.09	4.95	1.22	1.33	9.33	2.13	6.23	7.83	3.05
	85	5.56	1.18	5.05	1.35	1.36	10.16	2.06	6.15	9.71	3.25
	86	5.53	1.24	5.14	1.49	1.38	10.92	1.97	6.03	9.81	3.44
	87	5.50	1.28	5.20	1.62	1.40	10.51	1.87	5.88	8.89	3.61
	88	5.47	1.29	5.23	1.76	1.39	10.66	1.77	5.70	7.95	3.77
	89	5.43	1.29	5.24	1.90	1.39	10.75	1.68	5.50	6.99	3.91
	90	5.39	1.26	5.22	2.04	1.36	10.76	1.60	5.26	6.04	4.02
	91	5.34	1.20	5.18	2.17	1.33	10.71	1.52	5.01	5.11	4.10
	92	5.29	1.10	5.13	2.30	1.28	10.57	1.44	4.74	4.23	4.16
	93	5.23	.98	5.05	2.42	1.22	10.37	1.38	4.47	3.40	4.20
	94	5.18	.86	4.96	5.61	1.16	10.09	1.33	4.19	2.65	4.21
	95	5.11	.74	4.87	5.72	1.09	9.75	1.30	3.92	1.99	5.12
	96	5.04	.64	4.76	5.77	1.00	9.36	1.29	4.51	1.43	5.54
	97	4.97	.55	2.77	5.72	.92	8.93	1.31	4.61	.98	5.92
	98	4.89	.48	2.72	5.56	.18	8.45	1.34	4.68	.09	6.21
	99	4.81	.42	2.66	5.31	.16	7.95	1.41	4.72	.25	6.42
	100	4.73	.36	2.59	5.46	.14	7.44	1.49	4.73	.50	6.51
	101	4.64	.31	2.51	6.63	.12	6.93	1.59	4.71	.79	6.49
	102	4.55	.28	2.43	7.60	.10	6.42	1.70	4.65	1.54	6.36
	103	4.46	.26	2.30	7.57	.09	6.36	1.83	4.55	1.60	6.12
	104	4.36	.27	2.30	7.37	.07	5.75	1.96	4.43	1.69	5.81
	105	4.27	.31	2.29	7.15	.07	5.05	2.09	4.28	1.82	5.41
	106	4.17	.38	2.28	6.90	.06	4.29	2.22	4.10	1.98	4.97
	107	4.08	.47	2.25	6.64	.06	3.50	2.34	2.52	2.17	4.50
	108	3.99	.59	2.22	6.35	.07	2.73	2.45	2.55	2.37	4.04
	109	3.89	.73	2.19	6.05	.08	2.03	2.54	2.57	2.56	5.35
	110	3.81	1.71	2.14	5.73	.11	1.75	2.39	2.59	2.90	5.46
	111	3.73	1.89	2.10	5.41	.14	1.56	2.14	2.60	3.29	5.56
	112	3.64	2.08	2.04	5.07	.19	1.37	1.87	2.60	3.66	5.66
	113	3.57	2.28	1.98	4.73	.25	1.19	1.60	2.58	3.98	5.76
	114	3.51	2.48	1.91	4.39	.32	1.03	1.33	2.56	4.26	5.86
	115	3.44	2.69	1.84	4.04	.40	.87	1.10	2.52	4.49	5.95
	116	3.38	2.89	1.77	3.71	.50	.72	.00	2.47	5.29	6.04
