loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	76	8.41	5.76	1.00	.41	.41	3.23	6.73	3.92	.04	18.11
	77	9.05	5.85	.94	.42	.36	3.06	5.66	3.85	.04	17.92
	78	9.54	6.03	.89	.42	.32	2.89	4.55	3.79	.05	17.68
	79	9.88	6.15	.83	.43	.28	2.73	3.47	3.71	.07	17.38
	80	10.06	6.24	.78	.44	.24	2.56	2.50	3.63	.11	17.03
	81	10.10	6.32	.72	.45	.21	2.40	.72	3.53	.15	16.63
	82	10.01	6.02	.66	.45	.17	2.25	.58	3.43	.20	16.19
	83	9.83	5.65	.61	.45	.14	2.10	.43	3.32	.25	15.69
	84	10.08	5.23	.55	.45	.12	.43	.29	3.20	.52	15.15
	85	2.26	4.76	.50	.45	.09	.59	.17	3.07	.12	14.57
	86	2.06	4.26	.46	.44	.08	.75	.09	2.92	.08	13.96
	87	1.86	3.75	.41	.43	.06	.17	.07	2.77	.15	13.32
	88	1.67	3.24	.37	.41	.05	.18	.10	2.61	.28	12.66
	89	1.48	2.76	.34	.40	.05	.19	.19	2.45	.46	11.98
	90	1.29	2.31	.31	.38	.05	.20	.33	2.29	.69	11.30
	91	1.11	2.27	.30	.36	.06	.21	.36	2.13	.97	10.63
	92	.95	2.20	.28	.34	.07	.21	.37	1.97	1.28	9.96
	93	.79	2.11	.27	.32	.09	.21	.39	1.82	1.61	9.31
	94	.64	2.03	.27	.31	.13	.21	.40	1.67	1.95	8.68
	95	.50	1.95	.27	.26	.17	.21	.41	1.54	2.28	2.44
	96	.38	1.88	.27	.21	.22	.21	.41	3.90	2.59	2.14
	97	.27	1.84	.11	.16	.28	.22	.42	3.73	2.88	1.83
	98	.19	1.81	.11	.12	.44	.22	.42	3.56	2.80	1.53
	99	.12	1.79	.11	.08	.47	.22	.42	3.40	2.06	1.25
	100	.08	1.72	.11	.00	.50	.22	.42	3.25	1.37	.99
	101	.06	1.64	.11	.09	.53	.23	.41	3.11	.79	.76
