loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	74	.13	3.79	1.72	7.21	1.41	16.87	9.03	13.39	17.37	2.47
	75	.17	3.68	1.70	7.26	1.24	16.76	8.59	13.42	17.33	2.44
	76	.28	3.56	1.68	7.28	1.07	16.62	8.00	13.38	17.21	2.41
	77	.48	3.43	1.67	7.33	.92	16.45	7.28	13.27	16.99	2.39
	78	.76	4.00	1.66	7.46	.77	16.25	6.46	13.10	16.68	2.36
	79	1.10	3.90	1.67	7.60	.64	16.03	5.58	12.84	16.27	2.32
	80	1.47	4.01	1.69	7.72	.53	15.79	4.70	12.54	15.78	2.29
	81	1.87	7.17	1.72	7.85	.43	15.53	2.04	12.17	15.20	2.25
	82	2.25	6.99	1.76	7.96	.36	15.26	2.09	11.77	14.55	2.21
	83	2.62	6.77	1.82	8.06	.30	14.99	2.13	11.33	13.86	2.16
	84	2.68	6.52	1.90	8.15	.27	10.33	2.14	10.87	9.14	2.10
	85	.46	6.22	1.98	8.22	.25	11.75	2.14	10.40	10.75	2.04
	86	.51	5.89	2.09	8.27	.25	12.72	2.11	9.94	10.99	1.97
	87	.56	5.53	2.21	8.30	.27	28.98	2.06	9.49	10.64	1.90
	88	.62	5.15	2.33	8.30	.30	29.78	1.99	9.07	10.24	1.83
	89	.69	4.75	2.46	8.28	.35	30.47	1.89	8.67	9.81	1.76
	90	.77	4.34	2.59	8.24	.40	31.04	1.77	8.29	9.35	1.68
	91	.86	2.99	2.73	8.17	.47	31.50	1.62	7.93	8.86	1.60
	92	.96	3.59	2.86	8.09	.54	31.82	1.46	7.59	8.34	1.52
	93	1.07	4.20	2.99	7.97	.62	32.03	1.30	7.25	7.81	1.44
	94	1.18	4.81	3.12	4.29	.70	32.11	1.13	6.92	7.27	1.37
	95	1.31	5.39	3.24	3.95	.79	32.06	.96	6.58	6.73	1.16
	96	1.43	5.93	3.35	3.57	.87	31.90	.79	7.31	6.20	1.38
	97	1.57	6.41	2.87	3.15	.96	31.63	.64	6.97	5.69	1.63
	98	1.71	6.82	2.70	2.72	2.52	31.24	.50	6.64	5.38	1.90
	99	1.85	7.18	2.53	2.31	2.41	30.75	.39	6.33	6.38	2.19
	100	2.00	7.58	2.35	.53	2.29	30.16	.32	6.03	7.37	2.49
	101	2.14	7.97	2.18	.55	2.18	29.49	.28	5.75	8.23	2.79
	102	2.29	8.36	1.99	.58	2.06	28.74	.28	5.48	6.99	3.09
	103	2.44	8.74	5.22	1.13	1.96	19.82	.32	5.23	7.21	3.38
	104	2.59	9.09	5.45	1.07	1.86	20.31	.39	5.00	7.40	3.65
	105	2.74	9.41	5.68	1.00	1.76	20.63	.49	4.78	7.54	3.89
	106	2.88	9.69	5.90	.93	1.68	20.78	.61	4.58	7.62	4.09
	107	3.03	9.93	6.13	.87	1.62	20.78	.74	7.69	7.63	4.27
	108	3.17	10.10	6.34	.79	1.57	20.66	.88	7.51	7.54	4.42
	109	3.32	10.22	6.55	.72	1.54	20.47	1.02	7.32	7.35	3.18
	110	3.47	6.43	6.75	.65	1.52	21.38	2.83	7.11	7.12	3.22
	111	3.63	5.76	6.95	.57	1.54	22.53	3.06	6.88	6.83	3.27
	112	3.79	5.11	7.13	.50	1.57	23.58	3.28	6.64	6.45	3.33
	113	3.95	4.50	7.30	.43	1.63	24.55	3.49	6.39	5.97	3.39
	114	4.12	3.91	7.46	.37	1.71	25.41	3.68	6.13	5.40	3.47
	115	4.30	3.35	7.62	.30	1.82	26.17	3.85	5.85	4.79	3.56
	116	4.48	2.81	7.76	.25	1.95	26.81	.00	5.56	2.51	3.66
	117	4.67	1.04	7.88	.19	.06	27.34	.00	5.27	2.54	3.76
	118	4.86	.97	8.01	.15	.02	27.72	.00	4.97	2.57	3.86
	119	5.06	.89	8.11	.11	.00	27.96	.00	4.68	2.59	3.95
	120	5.27	.81	8.21	.07	.01	28.03	.00	4.39	2.60	4.05
	121	5.47	.73	8.30	.05	.05	27.92	.00	4.12	2.59	4.13
	122	5.68	.64	8.38	.03	.12	27.58	.00	3.86	2.58	4.20
	123	5.89	.56	8.44	.01	.21	27.01	.00	3.62	2.54	4.26
