loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	77	7.09	5.14	.80	26.62	11.91	7.44	.63	1.42	4.67	4.74
	78	8.02	8.91	.85	25.89	11.99	7.60	.36	1.78	5.32	4.45
	79	8.95	9.48	.90	25.12	12.03	7.74	.30	2.18	5.97	4.16
	80	9.83	9.96	.95	24.29	12.03	7.87	.48	2.62	6.62	3.88
	81	10.67	12.64	1.01	23.42	11.98	7.98	.15	3.09	7.24	3.62
	82	11.45	13.80	1.06	22.49	11.88	8.07	.12	3.59	7.83	3.37
	83	12.17	14.88	1.11	21.52	11.72	8.16	.10	4.11	8.37	3.16
	84	12.26	15.84	1.17	20.50	11.52	11.14	.07	4.65	15.07	2.98
	85	15.05	16.65	1.23	19.44	11.26	12.76	.05	5.19	14.68	2.83
	86	15.02	17.29	1.28	18.34	10.94	13.81	.04	5.74	15.11	2.73
	87	14.98	17.74	1.33	17.20	10.58	13.57	.04	6.29	16.46	2.67
	88	14.91	18.00	1.39	16.03	10.17	13.84	.04	6.84	17.63	2.64
	89	14.83	18.07	1.44	14.85	9.71	14.04	.06	7.37	18.58	2.65
	90	14.73	17.95	1.49	13.66	9.22	14.18	.09	7.90	19.29	2.69
	91	14.61	14.92	1.54	12.48	8.71	14.25	.11	8.40	19.77	2.76
	92	14.46	15.94	1.59	11.31	8.16	14.25	.14	8.89	20.05	2.85
	93	14.29	16.80	1.63	10.17	7.61	14.19	.17	9.35	20.16	2.96
	94	14.10	17.48	1.68	4.67	7.04	14.06	.21	9.79	20.11	3.08
	95	13.88	17.97	1.72	5.07	6.48	13.86	.26	10.21	19.92	2.39
	96	13.63	18.28	1.76	5.41	5.92	13.61	.32	10.95	19.59	2.71
	97	13.37	18.41	1.78	5.67	5.37	13.29	.38	11.30	19.15	3.03
	98	13.07	18.36	1.84	5.86	.28	12.93	.45	11.62	18.19	3.34
	99	12.76	18.04	1.91	5.95	.23	12.53	.52	11.89	18.46	3.63
	100	12.43	17.37	1.99	3.08	.17	12.09	.60	12.12	18.40	3.89
	101	12.08	16.64	2.07	2.86	.13	11.62	.67	12.30	17.90	4.10
	102	11.72	15.84	2.17	2.58	.09	11.15	.75	12.44	21.19	4.25
	103	11.34	14.99	2.98	8.79	.06	7.72	.82	12.54	22.35	4.34
	104	10.96	14.10	3.03	9.01	.03	7.44	.89	12.60	23.12	4.38
	105	10.58	13.17	3.08	9.20	.02	7.16	.95	12.62	23.56	4.35
	106	10.21	12.22	3.12	9.36	.01	6.92	1.01	12.61	23.68	4.28
	107	9.85	11.25	3.16	9.48	.01	6.77	1.06	11.13	23.47	4.16
	108	9.50	10.30	3.20	9.57	.03	6.75	1.11	10.68	22.87	4.00
	109	9.18	9.34	3.23	9.61	.06	6.87	1.15	10.21	21.74	3.81
	110	8.90	5.31	3.25	9.61	.10	6.33	1.24	9.72	21.03	3.60
	111	8.64	4.96	3.27	9.57	.16	5.63	1.60	9.21	20.52	3.38
	112	8.43	4.63	3.28	9.48	.24	4.95	1.97	8.69	19.85	3.14
	113	8.25	4.31	3.28	9.36	.34	4.30	2.32	8.15	19.03	2.90
	114	8.12	4.02	3.26	9.19	.45	3.69	2.61	7.60	18.07	2.65
	115	8.02	3.77	3.24	8.99	.57	3.14	2.82	7.05	17.00	2.39
	116	7.96	3.56	3.21	8.76	.71	2.62	.00	6.52	11.90	2.13
	117	7.93	6.29	3.17	8.51	.83	2.17	.00	6.00	12.06	1.87
	118	7.93	6.53	3.12	8.23	1.02	1.76	.00	5.50	12.23	1.61
	119	7.95	6.76	3.05	7.94	1.21	1.42	.00	5.04	12.41	1.36
	120	7.98	7.00	2.98	7.64	1.41	1.12	.00	4.62	12.59	1.12
	121	8.03	7.24	2.89	7.33	1.61	.89	.00	4.25	12.77	.90
	122	8.08	7.48	2.80	7.02	1.80	.70	.00	3.94	12.95	.70
	123	8.14	7.70	2.70	6.71	1.99	.56	.00	3.67	13.10	.53
	124	8.19	7.90	2.60	6.40	2.17	.46	.00	3.45	13.24	.38
	125	8.24	8.07	2.49	6.10	2.33	1.03	.00	3.27	13.34	.27
	126	8.29	8.21	2.38	5.81	2.48	1.09	.00	3.14	13.41	.19
	127	8.33	8.31	2.27	5.53	2.60	1.15	.00	3.11	13.45	.14
	128	6.74	8.36	2.15	5.63	2.62	1.21	.00	3.12	13.45	.13
	129	6.44	8.36	2.04	6.96	2.63	1.27	.00	3.11	13.41	.15
	130	6.10	8.30	1.94	8.11	2.62	1.33	.00	3.09	13.34	.20
	131	5.72	8.19	1.83	9.04	4.95	1.39	.00	3.07	13.23	.27
	132	5.32	8.03	1.73	9.73	4.90	1.45	.00	3.02	13.08	.36
	133	4.95	7.81	1.63	7.91	4.80	1.51	.00	2.97	12.91	.47
	134	4.74	7.55	1.54	7.89	4.65	1.57	.00	2.90	12.70	.59
	135	4.65	7.25	1.46	7.55	4.44	1.62	.00	2.83	12.47	.72
	136	4.57	6.92	1.37	6.94	4.17	1.66	.00	2.74	.00	.85
	137	4.49	6.55	1.30	11.58	3.86	1.71	.00	2.65	.00	.98
	138	4.42	6.17	1.22	12.58	3.51	1.75	.00	2.54	.00	1.11
	139	4.36	5.77	.16	13.38	3.12	1.78	.00	2.43	.00	.00
	140	4.31	5.36	.14	13.92	2.73	1.80	.00	2.90	.00	.00
	141	4.44	3.82	.13	14.18	2.33	1.83	.00	2.78	.00	.00
	142	10.29	3.63	.12	14.14	1.94	1.84	.00	2.65	.00	.00
	143	11.24	3.52	.11	13.80	1.58	1.85	.00	2.52	.00	.00
	144	12.11	3.46	.11	13.12	1.25	1.86	.00	2.40	.00	.00
	145	12.85	3.45	.11	12.09	.97	1.86	.00	2.28	.00	.00
	146	13.44	3.47	.11	11.91	.73	1.85	.00	2.16	.00	.00
	147	13.85	3.33	.12	11.83	.53	1.84	.00	2.04	.00	.00
	148	14.06	3.19	.13	11.72	.80	1.82	.00	1.93	.00	.00
	149	14.05	3.05	.15	11.58	.90	1.80	.00	1.82	.00	.00
	150	14.16	2.90	.16	11.43	1.01	1.78	.00	1.73	.00	.00
	151	14.23	4.63	.18	11.26	1.12	1.75	.00	1.75	.00	.00
	152	14.27	5.00	.21	11.06	1.24	1.72	.00	1.77	.00	.00
	153	14.30	5.36	.23	10.85	1.37	1.68	.00	1.78	.00	.00
	154	14.30	5.69	.26	10.63	1.50	1.65	.00	1.79	.00	.00
	155	14.28	5.98	.30	10.38	1.64	1.61	.00	1.79	.00	.00
