loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	74	.75	2.44	12.33	8.78	.99	5.67	3.03	1.05	30.49	7.80
	75	.90	2.26	12.23	8.76	1.01	5.70	2.63	1.16	30.30	8.05
	76	1.04	2.08	12.09	8.76	1.05	5.71	2.19	1.28	29.96	8.29
	77	1.19	1.90	11.90	8.72	1.09	5.72	1.74	1.41	29.46	8.51
	78	1.33	3.44	11.68	8.55	1.14	5.71	1.32	1.55	28.80	8.72
	79	1.45	3.33	11.43	8.34	1.20	5.69	.96	1.70	27.95	8.92
	80	1.55	3.29	11.14	8.09	1.28	5.64	.68	1.86	26.90	9.09
	81	1.62	5.90	10.83	7.81	1.36	5.57	2.28	2.02	25.62	9.24
	82	1.66	5.56	10.49	7.48	1.45	5.49	2.52	2.18	24.09	9.37
	83	1.68	5.20	10.13	7.13	1.55	5.38	2.74	2.34	22.32	9.47
	84	1.91	4.81	9.74	6.74	1.65	3.77	2.95	2.49	15.14	9.54
	85	.96	4.40	9.33	6.33	1.76	4.86	3.14	2.64	15.94	9.58
	86	1.13	3.97	8.91	5.90	1.87	5.89	3.30	2.77	15.80	9.59
	87	1.32	3.52	8.47	5.44	1.98	9.74	3.42	2.88	15.13	9.57
	88	1.54	3.07	8.02	4.99	2.09	9.58	3.52	2.97	14.36	9.51
	89	1.78	2.63	7.57	4.53	2.20	9.38	3.58	3.04	13.50	9.42
	90	2.03	2.20	7.11	4.08	2.31	9.13	3.60	3.09	12.56	9.30
	91	2.31	.34	6.66	3.65	2.42	8.85	3.66	3.11	11.56	9.15
	92	2.62	.53	6.22	3.25	2.52	8.54	3.71	3.10	10.51	8.98
	93	2.95	.77	5.80	2.87	2.62	8.21	3.75	3.07	9.43	8.79
	94	3.30	1.05	5.40	3.65	2.71	7.85	3.77	3.02	8.34	8.58
	95	3.68	1.33	5.02	3.83	2.80	7.49	3.77	2.95	7.27	7.82
	96	4.08	1.60	4.67	3.97	2.88	7.11	3.75	4.83	6.23	8.26
	97	4.50	1.86	2.38	4.07	2.95	6.73	3.72	4.94	5.26	8.68
	98	4.94	2.10	2.33	4.13	4.80	6.36	3.67	5.04	3.67	9.05
	99	5.41	2.35	2.26	4.15	4.70	6.00	3.60	5.13	4.30	9.38
	100	5.89	2.73	2.18	1.20	4.59	5.65	3.53	5.21	4.95	9.65
	101	6.40	3.13	2.10	1.00	4.49	5.31	3.44	5.27	5.57	9.85
	102	6.92	3.57	2.01	.83	4.39	5.00	3.35	5.32	2.27	9.99
	103	7.47	4.02	3.86	.02	4.28	3.35	3.25	5.35	2.64	10.07
	104	8.02	4.48	3.95	.03	4.18	3.23	3.14	5.35	3.01	10.07
	105	8.60	4.94	4.04	.03	4.07	3.14	3.03	5.33	3.34	10.01
	106	9.19	5.39	4.12	.03	3.96	3.09	2.91	5.28	3.61	9.88
	107	9.80	5.81	4.20	.04	3.85	3.08	2.79	7.88	3.79	9.71
	108	10.41	6.19	4.28	.04	3.74	3.09	2.67	7.95	3.89	9.48
	109	11.03	6.52	4.35	.04	3.63	3.12	2.55	8.01	3.90	6.94
	110	11.66	6.36	4.42	.05	3.52	3.30	2.99	8.08	4.00	6.89
	111	12.30	6.16	4.48	.05	3.41	3.54	3.06	8.14	4.07	6.83
