loc.	Chm 1	Chm 2	Chm 3	Chm 4	Chm 5	Chm 6	Chm 7	Chm 8	Chm 9	Chm 10
	0	.59	3.07	1.89	.92	7.08	.02	4.00	5.05	10.54	1.18
	1	.59	3.14	1.76	.89	7.33	.02	4.05	5.05	10.43	1.16
	2	.59	3.20	1.62	.87	7.59	.01	4.07	5.05	10.28	1.14
	3	.58	3.27	1.47	.85	7.83	.01	4.06	5.04	10.09	1.14
	4	.58	3.33	1.31	.82	8.05	.01	4.01	5.04	7.87	1.15
	5	.57	3.38	1.15	.80	8.24	.02	3.94	5.03	7.34	.74
	6	.57	3.43	.99	.77	8.40	.02	3.84	5.02	6.73	.86
	7	.57	3.47	.83	.75	8.52	.01	1.97	5.00	6.03	.99
	8	.37	3.51	.68	.72	8.62	.02	1.71	4.98	5.26	1.13
	9	.39	3.54	.53	.69	8.68	.03	1.48	4.97	4.45	1.29
	10	.41	3.57	.40	.67	8.72	.06	1.27	4.94	3.65	1.44
	11	.43	3.59	.28	.64	8.73	.11	1.13	4.91	2.91	1.61
	12	.45	3.60	.17	.61	8.74	.17	1.07	4.88	.10	1.77
	13	.48	3.61	.09	.59	8.73	.25	1.11	4.84	.10	1.93
	14	.50	3.61	.04	.56	8.72	.33	1.27	4.80	.09	2.10
	15	.53	3.61	.01	.53	8.71	.42	1.53	4.75	.10	2.25
	16	.55	3.60	.00	.51	10.07	.43	1.89	4.70	.10	2.41
	17	.58	7.00	.02	.48	10.55	.44	2.31	4.64	.11	2.55
	18	.61	7.13	.07	.46	10.99	.46	2.78	4.58	.11	2.68
	19	.64	7.25	.14	.44	11.35	.47	3.26	4.51	.13	2.81
	20	.67	7.39	.24	.42	11.64	.48	3.74	4.44	.15	2.55
	21	.70	7.52	.36	.40	11.84	.50	4.23	4.36	.17	2.86
	22	.73	7.66	.49	.38	11.95	.51	4.86	4.27	.19	3.21
	23	.76	7.80	2.45	.37	11.95	.53	5.50	4.19	.22	3.60
	24	.79	7.94	2.57	.35	11.85	.54	6.11	4.09	.26	4.00
	25	.82	8.09	2.70	.34	11.65	.55	6.62	3.99	.29	4.42
	26	.85	8.23	2.85	.33	11.34	.56	6.98	3.88	.34	4.83
	27	.89	8.37	3.03	.32	10.93	.58	7.13	3.77	.38	5.24
	28	.93	8.51	3.23	.31	10.43	.59	7.06	3.65	.43	5.64
	29	.97	8.64	3.46	.29	9.89	.60	8.96	3.53	.48	6.02
	30	1.01	8.77	3.72	.29	2.38	.61	9.48	3.41	.54	6.39
	31	1.05	8.89	4.01	.28	2.04	.61	9.91	3.28	.59	6.75
	32	1.09	8.99	4.32	.27	1.59	.62	10.23	3.14	.65	7.10
	33	1.13	9.09	4.65	.26	1.09	.63	10.44	3.00	.70	7.45
	34	1.17	9.17	4.99	.25	1.41	.63	10.52	2.86	.76	7.79
	35	1.22	9.24	5.34	.24	1.37	.64	10.50	2.72	.82	8.07
	36	1.26	9.29	5.67	.23	1.32	.64	10.36	2.57	.87	8.39
	37	1.30	9.32	5.98	.23	1.28	.65	10.12	2.42	5.79	8.65
	38	1.35	9.33	6.26	.22	1.23	.65	9.77	2.27	6.50	8.86
	39	1.39	9.32	6.50	.21	1.20	.65	9.34	2.11	7.19	9.03
	40	1.43	9.29	6.70	.20	1.17	.65	8.82	1.96	7.87	9.15
	41	1.47	9.24	6.85	.19	1.15	.66	10.83	1.80	8.53	9.24
	42	.50	9.16	22.02	.18	1.13	.66	11.26	1.64	9.16	9.31
	43	.45	9.06	23.05	.18	1.12	.66	11.61	1.49	9.76	9.35
	44	.41	8.94	23.92	.17	1.11	.66	11.87	1.58	10.33	9.39
	45	.37	8.80	24.59	.17	1.11	.66	12.02	1.71	10.87	9.42
	46	.34	8.63	25.05	.16	1.11	.61	12.07	1.86	11.39	9.31
	47	.32	8.45	25.31	.16	.99	.74	12.02	2.04	11.88	8.89
	48	.29	8.25	25.37	.15	.91	.85	11.87	2.24	12.34	8.33
	49	.28	8.04	25.24	.68	.83	4.74	11.62	2.48	12.77	7.64
	50	.27	7.81	24.96	.75	.74	4.96	11.28	2.76	24.36	6.84
	51	.26	7.56	24.52	.82	.64	5.16	10.86	3.08	24.75	5.95
	52	.26	7.31	23.94	.89	.55	5.35	10.35	3.45	24.95	5.04
	53	.27	7.05	23.23	.97	.45	5.54	9.77	3.86	24.97	4.14
	54	.28	6.78	19.56	1.06	.36	5.73	9.13	4.30	24.80	4.00
	55	.30	6.51	20.19	1.15	.28	5.93	8.45	4.77	24.45	3.89
	56	.33	3.47	20.14	1.23	.20	6.15	7.73	5.26	23.92	3.74
	57	.36	3.44	19.60	1.33	.13	6.38	7.00	5.77	23.24	3.55
	58	.39	3.39	20.08	1.43	.08	6.62	6.29	6.27	26.04	3.33
	59	.43	3.33	20.26	1.53	.05	6.89	5.60	6.77	26.77	3.09
	60	.47	3.26	20.16	1.63	.03	7.65	4.96	7.26	27.45	2.85
	61	.52	3.17	19.81	1.73	.02	8.00	4.37	7.72	28.04	2.60
	62	.58	3.06	19.21	1.83	.02	8.33	1.91	8.16	28.52	2.36
	63	.64	2.94	18.37	1.93	.03	8.64	1.80	8.57	28.87	2.15
	64	.70	2.80	17.28	2.02	.53	8.92	1.69	8.95	29.11	1.96
	65	.76	2.65	15.98	2.12	.54	9.18	1.58	9.29	29.25	1.79
	66	.83	2.49	19.98	2.21	.56	9.41	1.47	9.60	29.30	1.65
	67	.90	2.32	20.28	2.29	.58	9.60	1.36	9.87	29.26	1.53
	68	.98	2.15	20.57	2.37	.59	9.77	1.25	10.10	29.14	3.84
	69	1.05	1.98	20.83	6.95	.61	9.91	1.14	10.29	27.71	4.00
	70	1.13	1.81	21.05	7.21	.63	10.02	1.04	10.45	28.50	4.16
	71	1.20	1.65	21.23	7.46	.66	10.11	.96	10.56	29.11	4.32
	72	1.28	1.51	21.37	7.72	.68	10.16	.88	10.65	29.56	4.47
	73	1.36	1.38	21.45	7.98	.71	10.20	.37	10.70	29.83	4.61
	74	3.04	1.26	8.47	8.23	.74	10.21	.34	12.56	29.96	4.74
	75	3.33	1.15	8.31	8.48	.77	10.20	.32	12.76	29.94	4.86
	76	3.62	1.06	8.14	8.71	.80	10.17	.31	12.90	29.80	4.95
	77	3.88	.97	7.95	8.85	.84	10.12	.31	13.00	29.53	5.03
	78	4.09	1.07	7.75	8.77	.88	10.06	.32	13.04	29.15	5.07
	79	4.23	1.02	7.53	8.68	.91	9.99	.34	13.03	28.67	5.09
	80	4.29	.98	7.31	8.57	.96	9.90	.37	12.96	28.11	5.08
	81	4.28	2.84	7.08	8.43	1.00	9.80	1.39	12.84	27.46	5.05
	82	4.19	2.85	6.84	8.28	1.05	9.70	1.60	12.67	26.74	4.98
	83	4.04	2.85	6.60	8.10	1.09	9.59	1.79	12.45	25.95	4.89
	84	3.94	2.85	6.35	7.91	1.15	5.40	1.97	12.18	18.77	4.78
	85	.36	2.86	6.10	7.70	1.20	4.65	2.12	11.87	19.20	4.63
	86	.32	2.85	5.85	7.47	1.25	3.90	2.24	11.53	18.88	4.47
	87	.29	2.85	5.60	7.22	1.30	8.11	2.33	11.17	18.35	4.29
	88	.26	2.83	5.36	6.96	1.36	8.00	2.36	10.80	17.71	4.10
	89	.24	2.81	5.11	6.69	1.41	7.85	2.36	10.43	16.94	3.90
	90	.22	2.78	4.88	6.41	1.47	7.69	2.32	10.07	16.04	3.69
	91	.21	1.81	4.65	6.12	1.52	7.50	2.30	9.74	15.03	3.48
	92	.20	1.76	4.43	5.82	1.57	7.30	2.28	9.44	13.91	3.28
	93	.20	1.70	4.22	5.53	1.62	7.08	2.26	9.17	12.71	3.08
	94	.21	1.62	4.03	5.14	1.67	6.86	2.24	8.92	11.47	2.89
	95	.22	1.54	3.84	5.74	1.72	6.64	2.22	8.70	10.22	2.28
	96	.24	1.44	3.66	6.40	1.76	6.41	2.21	9.18	9.00	2.71
	97	.27	1.34	.80	7.08	1.80	6.19	2.21	9.05	7.85	3.17
	98	.30	1.24	.88	7.76	3.21	5.97	2.20	8.87	5.77	3.66
	99	.35	1.20	.95	8.41	3.20	5.76	2.22	8.64	5.75	4.16
	100	.40	1.35	1.02	4.80	3.18	5.55	2.23	8.37	5.64	4.66
	101	.46	1.53	1.09	4.43	3.16	5.35	2.25	8.06	5.48	5.16
	102	.53	1.74	1.15	3.92	3.13	5.16	2.26	7.70	1.77	5.63
	103	.61	1.99	1.85	1.54	3.10	4.04	2.27	7.31	1.97	6.09
	104	.70	2.26	1.95	1.75	3.07	4.10	2.28	6.90	2.17	6.51
	105	.80	2.57	2.06	1.98	3.05	4.13	2.27	6.48	2.35	6.90
	106	.92	2.90	2.17	2.24	3.02	4.12	2.26	6.07	2.51	7.25
	107	1.04	3.25	2.28	2.52	3.01	4.07	2.23	3.40	2.64	7.56
	108	1.18	3.61	2.40	2.82	3.00	3.97	2.20	3.25	2.75	7.83
	109	1.34	3.97	2.51	3.14	3.00	3.82	2.16	3.08	2.83	7.12
	110	1.51	5.14	2.62	3.48	3.01	4.03	3.04	2.92	2.89	6.88
	111	1.70	5.30	2.73	3.83	3.02	4.32	3.08	2.74	2.93	6.63
	112	1.89	5.41	2.84	4.19	3.04	4.59	3.07	2.57	2.93	6.37
	113	2.12	5.46	2.93	4.55	3.07	4.85	3.03	2.39	2.91	6.10
	114	2.35	5.46	3.02	4.91	3.10	5.11	2.96	2.21	2.87	5.83
	115	2.59	5.41	3.10	5.28	3.14	5.35	2.85	2.03	2.80	5.55
	116	2.84	5.31	3.17	5.64	3.17	5.58	.00	1.86	.72	5.27
	117	3.10	3.28	3.22	6.00	1.67	5.81	.00	1.69	.62	4.98
	118	3.36	3.27	3.26	6.34	1.65	6.03	.00	1.54	.52	4.70
	119	3.63	3.27	3.29	6.68	1.63	6.25	.00	1.39	.43	4.42
	120	3.90	3.26	3.31	7.01	1.60	6.47	.00	1.25	.34	4.14
	121	4.17	3.26	3.30	7.32	1.58	6.68	.00	1.12	.27	3.87
	122	4.44	3.26	3.30	7.62	1.56	6.88	.00	1.01	.20	3.60
	123	4.71	3.25	3.28	7.91	1.55	7.08	.00	.90	.14	3.35
	124	4.97	3.24	3.25	8.18	1.54	7.26	.00	.81	.10	3.10
	125	5.22	3.23	3.21	8.43	1.54	6.55	.00	.72	.06	2.87
	126	5.47	3.22	3.17	8.67	1.55	6.56	.00	.65	.03	2.64
	127	5.71	3.20	3.11	8.88	1.56	6.56	.00	.14	.01	2.43
	128	8.74	3.18	3.06	12.09	1.57	6.55	.00	.16	.01	2.23
	129	8.71	3.14	3.00	13.58	1.58	6.53	.00	.17	.01	2.05
	130	8.67	3.10	2.95	15.01	1.59	6.50	.00	.19	.02	1.88
	131	8.63	3.04	2.89	16.32	1.34	6.45	.00	.22	.04	1.71
	132	8.58	2.97	2.83	17.51	1.56	6.39	.00	.25	.07	1.57
	133	8.53	2.89	2.77	20.81	1.81	6.31	.00	.28	.11	1.43
	134	8.30	2.79	2.71	24.46	2.08	6.22	.00	.31	.14	1.30
	135	7.87	2.68	2.66	26.72	2.36	6.12	.00	.34	.19	1.18
	136	7.43	2.54	2.60	27.94	2.67	6.01	.00	.37	.00	1.07
	137	6.98	2.41	2.55	32.94	3.00	5.88	.00	.40	.00	.97
	138	6.53	2.27	2.50	32.19	3.33	5.74	.00	.42	.00	.88
	139	6.07	2.11	2.19	31.19	3.67	5.59	.00	.43	.00	.00
	140	5.61	1.95	2.53	29.98	4.01	5.42	.00	.90	.00	.00
	141	5.20	.93	2.54	28.57	4.36	5.25	.00	1.14	.00	.00
	142	10.20	1.12	2.55	26.94	4.70	5.07	.00	1.40	.00	.00
	143	10.10	1.37	2.57	25.09	5.04	4.88	.00	1.65	.00	.00
	144	9.85	1.65	2.58	23.01	5.37	4.69	.00	1.90	.00	.00
	145	9.46	1.96	2.60	20.69	5.70	4.49	.00	2.14	.00	.00
	146	8.93	2.27	2.61	20.42	6.02	4.29	.00	2.36	.00	.00
	147	8.28	2.91	2.62	20.29	6.33	4.09	.00	2.57	.00	.00
	148	7.53	3.48	2.64	20.06	4.46	3.89	.00	2.75	.00	.00
	149	6.71	3.87	2.66	19.74	4.27	3.69	.00	2.90	.00	.00
	150	6.44	4.02	2.67	19.33	4.07	3.49	.00	3.65	.00	.00
	151	6.59	6.00	2.69	18.84	3.86	3.29	.00	3.90	.00	.00
	152	6.75	5.99	2.71	18.28	3.65	3.10	.00	4.15	.00	.00
